1007 Lausanne	(46.516054, 6.608998000000001)
Flösserstrasse 7; 5000, Aarau	(47.39440459999999, 8.0414508)
Frankenstrasse 6, 6003 Luzern	(47.0493135, 8.3083783)
Frankfurt-Strasse 36 4142 Münchenstein	(47.53179859999999, 7.6075511)
Friedaustrasse 23; 8003, Zürich	(47.3773913, 8.5108962)
Färberstrasse 6; 8008, Zürich	(47.36168129999999, 8.5487674)
Förrlibuckstrasse 109, 8005 Zürich	(47.3913726, 8.5125154)
Förrlibuckstrasse 109; 8005, Zurich	(47.3913726, 8.5125154)
Förrlibuckstrasse 110, 8005 Zürich	(47.392243, 8.512975200000001)
Geissensteinring 14, 6005, Luzern	(47.04010149999999, 8.3104674)
Genfergasse 10, 3011 Bern	(46.9496475, 7.4411578)
Geroldstrasse 17; 8005, Zürich	(47.3855032, 8.519590099999999)
Geroldstrasse 35, 8005 Zürich	(47.3858201, 8.5181873)
Gessnerallee 8; 8001, Zurich	(47.3747741, 8.5346811)
Giebenacherstrasse 40 4302 Augst	(47.53003, 7.7269302)
Gotthardstrasse 21, 8002 Zürich	(47.3658868, 8.5367205)
Grand Rue 5-7 1260 Nyon	(46.38246959999999, 6.239117199999999)
Grand-Rue 30, 1635 Bulle	(46.6190386, 7.0578789)
Grand-Rue 68, 1700 Fribourg	(46.8056652, 7.161766999999999)
Grand-Rue 95; 1820, Montreux	(46.4375985, 6.907681899999999)
Grubenstrasse 15, Zürich	(47.3616086, 8.5160348)
Gstaadplatz; 3780, Gstaad	(46.48033520000001, 7.281146800000001)
Gutenbergstrasse 1, 8002 Zürich	(47.36499080000001, 8.530651599999999)
Güterbahnhofstrasse 4; 9000, St. Gallen	(47.41877729999999, 9.364653299999999)
Hagenaustrasse 29; 4056, Basel	(47.5740241, 7.568760299999999)
Halden Strasse 6; 6006, Lucerne	(47.0550326, 8.3170695)
Hardstrasse 219, 8005 Zürich	(47.3868952, 8.5167783)
Hardstrasse 245; 8005, Zürich	(47.38830369999999, 8.519319700000002)
Hardturmstrasse 269, 8005 Zürich	(47.3933743, 8.5079724)
Hauptstrasse 35, 8280 Kreuzlingen	(47.6507266, 9.174609600000002)
Heinrichstrasse 262, 8005 Zürich	(47.389532, 8.521789899999998)
Hofmattstrasse 4, 3920 Zermatt	(46.02181689999999, 7.747712699999999)
Hohlstrasse 452 8048 Zürich	(47.3890797, 8.4960491)
Hohlstrasse 452, 8048 Zürich	(47.3890797, 8.4960491)
Hohlstrasse 457; 8048, Zürich	(47.3873158, 8.4998642)
Holenstein Ost 8750 Glarus	(47.0404212, 9.067215499999998)
Hubstrasse 27, 9500 Wil	(47.4611235, 9.040320599999998)
Im Alten Riet 22, 9494 Schaan, Liechtenstein	(47.1748013, 9.5121523)
Industrie Sihlbrugg, 6340 Baar ZG	(47.213065, 8.560923)
Industriestrasse 5, 6005 Luzern	(47.0418704, 8.3109567)
Industriestrasse, Gebäude C Bürglen	(47.5480143, 9.1496862)
Inseliquai 12, 6005 Luzern	(47.04823260000001, 8.314183600000002)
Inseliquai 12c; 6005, Luzern	(47.04823260000001, 8.314183600000002)
Kalanderplatz 1; 8045, Zürich	(47.3582109, 8.5225949)
Kanonengasse 16; 8004, Zürich	(47.37703629999999, 8.5291937)
Kanonengasse 20; 8004, Zürich	(47.3778258, 8.5306496)
Kantonsstrasse 5, 3940	(46.30671660000001, 7.7493157)
Klingental 18, 4058 Basel	(47.5625746, 7.5914673)
Kloster Fahr-Weg, 8006 Zürich	(47.38273780000001, 8.539867100000002)
Klosterberg 13; 4051, Basel	(47.55199909999999, 7.5905736)
Klybeckstrasse 95, 4057 Basel	(47.5689078, 7.5901831)
Konstanzerstrasse 3, 8274 Tägerwilen	(47.658658, 9.128454300000001)
Kornhausplatz 18; 3000, Bern	(46.9488427, 7.4472494)
Kreuzbleicheweg 2, 9000 St. Gallen	(47.4209139, 9.359815099999999)
Kulturfabrik Wetzikon, Zürcherstrasse 40/42	(47.3249515, 8.786522500000002)
Köniz, 3098, 9 Schulhausgässli, CH	(46.92141329999999, 7.411863200000001)
La Voie-de-Moëns 26; 1218, Grand-Saconnex	(46.2359929, 6.1196021)
Lagerplatz 18; 8400, Winterthur	(47.49477690000001, 8.717943900000002)
Langstrasse 112, 8004 Zürich	(47.3788729, 8.527255699999998)
Langstrasse 135, 8004 Zürich	(47.38006679999999, 8.527701399999998)
Langstrasse 93; 8004, Zürich	(47.37817089999999, 8.526619099999998)
Le Château, 1400 Yverdon-les-Bains	(46.7782456, 6.641490299999999)
Lerchentalstrasse, 9016 St. Gallen	(47.4436344, 9.4166512)
Limmatstrasse 118; 8031, Zürich	(47.384078, 8.533097200000002)
Limmatstrasse 195; 8005, Zürich	(47.386577, 8.528736)
Lindenberg 23, 4058 Basel	(47.55900810000001, 7.5952305)
Lungolago Giuseppe Motta 7, 6600 Locarno	(46.1674264, 8.8022577)
Löwengraben 18; 6004, Luzern	(47.0528155, 8.304145799999997)
Löwenstrasse 2, 8001 Zürich	(47.3730507, 8.534927399999999)
Markplatz 34, Basel 4001	(47.558695, 7.587085000000001)
Marktpl. 34, 4001 Basel	(47.55873210000001, 7.586999800000001)
Marzilistrasse 47; 3005, Bern	(46.9407305, 7.4442221)
Mattenstrasse 81 / Rue des près 81, 2503, Biel/Bienne	(47.1360403, 7.253468)
Messeplatz 10	(47.5645067, 7.602111000000001)
Militärstrasse 12, 8004 Zürich	(47.3763854, 8.5332966)
