	place	address	event	date	artists
0	 25 Hours Hotel Zürich	Pfingstweidstrasse 102, 8005 Zürich	De Mes Amis Welcomes Guti	2017-02-02	['Guti (Desolat)', ' Nicolaj (Miteinander Musik)', ' raa']
1	 25 Hours Hotel Zürich	Pfingstweidstrasse 102, 8005 Zürich	Lange Nacht der Hotelbars + der Sonntag Dazu.	2017-02-02	['Juen & Bach', 'Renato Broccini', 'Marvel Lane', 'Criss', 'Urbanbassic', 'Pazkal', 'Miky Merz', 'Spruzzi', 'Timoteo', 'Benja & Reto Ardour']
