location,event,date,artists,genre
Zürich,Monte-Carlo,2015-09-29,['Monte Carlo '],
Zürich,Sonar,2015-09-29,['Sonar '],
Zürich,Kelvin-Jones,2015-09-29,['Kelvin Jones '],Pop
Winterthur,Musica-aperta-Violin-Summit,2015-09-29,"['Hansheinz Schneeberger ', ' Egidius Streiff ', ' Daphné Schneider ']",Classic
Zürich,Soley,2015-09-29,['Soley '],
Zürich,Counterparts,2015-09-29,"['Counterparts ', ' support: Senses Fail ', ' Capsize ']",
Rheinfelden,Jazzclub-Q4,2015-09-29,"[' Chico Freeman ', ' Antonio Faraò ', ' Heiri Känzig ', ' Michael Baker ']",
Zürich,Hooton-Tennis-Club,2015-09-29,['Hooton Tennis Club '],Pop
Zürich,Kaleidoscope-String-Quartet,2015-09-29,"[' Simon Heggendron ', ' Ronny Spiegel ', ' David Schnee ', ' Solme Hong ']",Classic
Luzern,Trio-de-Lucs,2015-09-29,"[' Lukas Derungs ', ' Lukas Hatzis ', ' Lukas Jank ']",
Basel,Scherrer-Brodbeck-Gisler-Strüby,2015-09-29,"[' Andy Scherrer ', ' Jean-Paul Brodbeck ', ' Fabian Gisler ', ' Claudio Strüby ']",
