,location,event,date,artists,genre
0,Zürich,Wirbelwind,2015-04-07,['Wirbelwind '],
1,Zürich,Brasil-Acoustic-Trio,2015-04-07,"[' Rodrigo Botter Maio ', ' Oliver Pellet ', ' Dudu Penz ']",
2,Luzern,Piano-Entertainment,2015-04-07,['Dezsö Balogh '],Classic
3,Zürich,Leo-Hört-Rauschen,2015-04-07,['Leo Hört Rauschen '],
4,Zürich,Konzert,2015-04-07,['Irina Georgieva '],Classic
5,Pratteln,Wille-and-the-Bandits,2015-04-07,['Wille and the Bandits '],
6,Bern,Francesco-Buzzurro,2015-04-07,['Francesco Buzzurro '],
7,Zürich,Bukowski,2015-04-07,['Laish '],Electronic
8,Zürich,Andy-F,2015-04-07,['Andy F '],Pop
9,Zürich,Ikarus,2015-04-07,"['Ikarus ', ' Stefanie Suhner ', ' Andreas Lareida ', ' Lucca Fries ', ' Mo Meyer ', ' Ramón Oliveras ']",
10,Winterthur,Oldseed,2015-04-07,['Oldseed '],Pop
11,null,Decibelles,2015-04-07,"['Decibelles ', ' 55s ']",
12,Winterthur,The-Devil-Makes-Three,2015-04-07,['The Devil Makes Three '],
