location,event,date,artists,genre
Bern,Festival-Polyphonie-der-Kulturen-Orgelpunkt-zur-Finissage,2016-06-24,"['Julien Paillard ', ' Antonio Garcia ']",Classic
Winterthur,Jam-Session,2016-06-24,"[' Lukas Schellenberg ', ' Daniel Müller ', ' Nick Mens ']",
Bad-Ragaz,Quellrock-Openair,2016-06-24,['Danko Jones '],
Basel,Orgelspiel-zum-Feierabend,2016-06-24,['Dieter Lämmlin '],Classic
Interlaken,Trucker-&-Country-Festival-Interlaken,2016-06-24,[' Keith Sterling Brewer Band '],
Zürich,Maurice-Polo,2016-06-24,['Maurice Polo '],
Geroldswil,Rock-Night-2016-Limmattaler-Kulturparty,2016-06-24,"['Undercover Gang ', ' Sticky Fingers ']",
Zürich,If-They-Bite-with-All-Their-Might,2016-06-24,[' works by David Sontòn Caflisch '],Classic
Zürich,Duo-Flautasto,2016-06-24,"[' Sandro Müller ', ' Barbara Müller-Hämmerli ']",Classic
Riehen,Renaissance-Ball,2016-06-24,"[' Ivo Haun ', ' Félix Verry ', ' mit Véronique Daniels ']",Classic
Basel,Martin-&-Mozart,2016-06-24,"[' Eva Oltivanyi ', ' Silke Gäng ', ' David Munderloh ', ' ', ' Kevin Griffiths ']",Classic
Basel,3.-Schlusskonzert,2016-06-24,"[' Amalia Lucia Pérez ', ' Joachim Müller-Crepon ', ' Pavlos Serassis ', ' Corinna Döring ', ' Payam Taghadossi ']",Classic
Rheineck,Serenade-im-Hofgarten,2016-06-24,[' Claude Rippas '],Classic
Rheineck,Serenade-im-Hofgarten,2016-06-24,[' Claude Rippas '],Classic
Zürich,Quattro-stagioni-Aber-anders,2016-06-24,"['Julien Quentin ', ' Martynas Levickis ', ' Rosanne Philippens ']",
Schönenbuch,Frühlingswind-und-Abendhauch,2016-06-24,"[' Beatrice Voellmy ', ' Kasuko Nakano ', ' conductor: Verena Krause ']",Classic
Solothurn,Sick-Of-It-All,2016-06-24,['Sick of it All '],
Lausanne,Samaris,2016-06-24,['Samaris '],Electronic
Zürich,Amberg-Hemingway-Käser-Loher,2016-06-24,"[' Elio Amberg ', ' Gerry Hemingway ', ' Sara Käser ', ' Raphael Loher ']",
Basel,Groove-Now,2016-06-24,"[""Chris O'Leary Band ""]",
Winterthur,FM-Trio,2016-06-24,"[' Fabian M. Mueller ', ' Kaspar von Grüningen ', ' Fabian Bürgi ']",
null,Chris-Conz-Trio,2016-06-24,"[' Chris Conz ', ' Arno Schulz ', ' Mario von Holten ']",
Basel,L'Orkès-Péï-d'Oko,2016-06-24,"[""L'Orkès Péï d'Oko "", ' Olivier Ker Ourio ', ' Denis Leloup ', ' Stéphane Chausse ', ' Eric Séva ', ' Frédéric Couderc ', ' Jerry Léonide ', ' Linley Marthe ', ' Arnaud Dolmen ', ' Inor Sotolongo ']",
Köniz,Junge-Sinfonie-Bern,2016-06-24,"['Alexis Vincent ', ' Julia Malkova ']",Classic
Baden,Jump,2016-06-24,"[' Steve Ubezio ', ' Andi Richiger ']",
Interlaken,Trucker-&-Country-Festival-Interlaken,2016-06-24,"['The Baseballs ', ' Truck Stop ']",
Zürich,Lolina,2016-06-24,['Lolina '],Electronic
Kriens,Badbadnotgood,2016-06-24,['Badbadnotgood '],
Zürich,Tonhalle-Late-Classic-Meets-Electronic,2016-06-24,[' Hélène Grimaud '],Classic
Zürich,Apollo-Brown-&-Guilty-Simpson,2016-06-24,['Apollo Brown & Guilty Simpson '],
