,location,event,date,artists,genre
0,Basel,Mittagskonzert,2014-03-28,['Gertruda Jerjomenko '],['Classic']
1,Winterthur,Midi-musical-Musse-&-Melodien-?ber-Mittag,2014-03-28,"['Anzhela Golubyeva Staub ', ' Beata Checko-Zimmermann ', ' Chie Tanaka ', ' David Schneebeli ', ' Anik? Ill?nyi ']",['Classic']
2,Luzern,Piano-Entertainment,2014-03-28,['Christian Mettler '],['Pop']
3,Basel,Orgelspiel-zum-Feierabend,2014-03-28,['Irena Zeitz '],['Classic']
4,Z?rich,Hallelujah,2014-03-28,[' Andr? Briel '],['Classic']
5,null,4.-Meisterzyklus-Konzert,2014-03-28,"[' Min-Jeong Koh ', ' Sarah Nematallah ', ' Caitlin Boyle ', ' Rachel Desoer ']",['Classic']
6,Z?rich,Klavierrezital,2014-03-28,['Christian Zacharias '],['Classic']
7,Arbon,Subnoder,2014-03-28,"[' Raffaele Bossard ', ' Franz Hellm?ller ', ' Thomas Bauser ', ' Michi Stulz ']","['Jazz', 'Blues', 'Soul']"
8,Z?rich,?ffentliches-Konzert-in-der-M?hlehalde,2014-03-28,"['Franziska Kerler ', ' Stephanie Meitzner ']",['Classic']
9,Z?rich,M4Music,2014-03-28,"['Who Made Who ', ' Kakkmaddafakka ', ' Left Boy ']",['Electronic']
10,Lausanne,Anna-Calvi,2014-03-28,['Anna Calvi '],['Pop']
11,Rheinfelden,Hot-Strings,2014-03-28,"[' Fere Scheidegger ', ' Rainer Hagmann ', ' Peter Horisberger ', ' Thomas D?rst ']","['Jazz', 'Blues', 'Soul']"
12,Sursee,Next-Stop-Horizon,2014-03-28,['Next Stop Horizon '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
13,null,Devildriver,2014-03-28,['Devildriver '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
14,null,Georg-Ringsgwandl,2014-03-28,['Georg Ringsgwandl '],['Pop']
15,Bern,Konstantin-Wecker,2014-03-28,['Konstantin Wecker '],['Pop']
16,Solothurn,Henrik-Freischlader,2014-03-28,['Henrik Freischlader '],['Pop']
17,Wetzikon,Burn-8610-Burn,2014-03-28,['Jeyz '],"['Hip', 'Hop', ""R'n'B""]"
18,Luzern,Honky-Tonk-Festival,2014-03-28,['Lilly Martin '],"['Jazz', 'Blues', 'Soul']"
19,Z?rich,M4Music,2014-03-28,"['Fryars ', ' Wye Oak ', ' Thumpers ']",['Pop']
20,Winterthur,The-Bacon-Fats,2014-03-28,"[' Jan Hartmann ', ' Sleepy Eddie James ', ' Tobias Wirz ', ' Lukas Meier ']","['Jazz', 'Blues', 'Soul']"
21,Basel,Rudi-Berger-Quintet-feat.-Mike-Clark,2014-03-28,"[' Rudi Berger ', ' Mauro Rodrigues ', ' William Evans ', ' Stephan Kurmann ', ' Mike Clark ']","['Jazz', 'Blues', 'Soul']"
22,Jona,Kach-Arba,2014-03-28,"[' Fran?ois Thurneysen ', ' Franz Winteler ', ' Philipp Mestrinel ', ' Ulrike Andersen ']","['world', 'music']"
23,null,Hiromi,2014-03-28,['Hiromi '],"['Jazz', 'Blues', 'Soul']"
24,Basel,The-Righteous-Fatale,2014-03-28,['Heloise Ph. Palmer '],['Classic']
25,Baden,Kieran-Goss,2014-03-28,['Kieran Goss '],"['world', 'music']"
26,Z?rich,Il-Tempo-Gigante,2014-03-28,['Il Tempo Gigante '],['Pop']
27,null,Roachford,2014-03-28,['Roachford '],"['Hip', 'Hop', ""R'n'B""]"
28,W?denswil,Jokerwoman-Revisited,2014-03-28,"[' Dodo Hug ', ' Evisio Contini ', ' Andreas K?hnrich ']",['Pop']
29,Winterthur,Doppelkonzert,2014-03-28,[' Xuefei Yang '],['Classic']
30,Wil,Chi-Coltrane-&-Band,2014-03-28,[' Band '],['Pop']
