location,event,date,artists,genre
Basel,ZeitRäume-Basel-Hofkonzerte,2015-09-12,"[' Alessio Pianelli ', ' Demetre Gamsachurdia ', ' Wictor Kociuban ']",Classic
null,Jazzin,2015-09-12,"[' Barbara Wehrli Wutzl ', ' Christoph Grab ', ' Reto Suhner ', ' Thomi Geiger ']",
Luzern,Lucerne-Festival-Violine-und-Sopran,2015-09-12,"['Isabelle Faust ', ' Christine Schäfer ']",Classic
Zürich,Werner-und-Company,2015-09-12,['Werner und Company '],
Winterthur,Kulturnacht-Winterthur-Aufzeichnungen,2015-09-12,"['Ronny Spiegel ', ' Michal Lewkowicz ']",
Bern,Musikfestival-Bern-Creatio-Neuschöpfung,2015-09-12,"['Marc Fitze ', ' Alexandre Dubach ', ' Lorenz Indermühle ', ' Dominik Fischer ', ' Andreas Graf ']",Classic
Gstaad,Country-Night-Gstaad,2015-09-12,"['Gatlin Brothers ', ' Patty Loveless ', ' Chris Young ']",
Luzern,Lucerne-Festival-Sinfoniekonzert-31,2015-09-12,[' Elisabeth Kulman '],Classic
Zürich,Voyage-à-Paris-Les-Six,2015-09-12,"['Martina Fausch ', ' Caroline Vitale ', ' Frédéric Gindraux ', ' Robert Braunschweig ', ' Hans Adolfsen ']",Classic
Winterthur,Kulturnacht-Winterthur-Und-der-Löwe-betrat-die-Manege-mit-lautem-Gebrüll,2015-09-12,"['Franz Ortner ', ' Franz Ortner ', ' Josef Gilgenreiner ']",Classic
null,Orgelherbst,2015-09-12,['Andreas Jud '],Classic
Baden,Viva-España,2015-09-12,"[' Dominique Gisler ', ' Ursula Hächler ', ' Kiyomi Higaki ']",Classic
Zürich,25-Jahre-Orpheum-Stiftung,2015-09-12,"[' Heigo Rosin ', ' Hyeyoon Park ']",Classic
Bern,Herbstkonzert-mit-dem-MSG-Kammerorchester-Bern,2015-09-12,['Esther Feingold '],Classic
null,Marienvesper,2015-09-12,"[' Barbara Locher ', ' Nuria Richter ', ' Sebastian Lipp ', ' Hans-Jürg Rickenbacher ', ' Peter Brechbühler ']",Classic
Thun,Sinfoniekonzert,2015-09-12,['Miriam Prandi '],Classic
Zürich,Riders-Connection,2015-09-12,"['Riders Connection ', ' Will And The People ', ' Bukahara ']",Pop
Zürich,Florian-Favre,2015-09-12,['Florian Favre '],
Zürich,Torres,2015-09-12,['Torres '],
Zürich,Bryan-Ferry,2015-09-12,"['Bryan Ferry ', ' support: Femme Schmidt ']",
Zürich,Von-Bach-zu-Mozart,2015-09-12,"[' Franziska Wigger ', ' Franziska Schnyder ', ' Daniel Bentz ', ' Christian Marthaler ']",Classic
Dornach,Neues-Orchester-Basel,2015-09-12,[' Pablo Barragàn '],Classic
Kappel-am-Albis,Wie-die-Lilien-des-Feldes,2015-09-12,"[' Sylvia Garatti ', ' Markus Amrein ', ' Martin Geiser ', ' Rudolf Meyer ']",Classic
Zürich,Status-Quo,2015-09-12,['Status Quo '],
Embrach,Piccolo-Musikfestival,2015-09-12,['Cielo arriba '],
Zürich,Ziveli-Orkestar-&-Suzana-Djordjevic,2015-09-12,"[' Suzana Djordjevic ', ' Alban Sarron ', ' Julien Mercier ', ' Nicolas Perruche ', ' Miroslv Gradojevic ']",
Basel,McCoy-Mrubata-Quintet,2015-09-12,"[' Marc Ullrich ', ' McCoy Mrubata ', ' Jean-Paul Brodbeck ', ' Dominique Girod ', ' Claudio Strüby ']",
Baden,Noche-flamenca,2015-09-12,"['Cristina Haas ', ' Silvia Dominguez ', ' Vicente Cortés ', ' David Lüthi ']",
Winterthur,Was-isch-Winti-,2015-09-12,['Old Kidz '],Pop
Zürich,Tiere-der-Nacht,2015-09-12,"[' Mani Neumeier ', ' Luigi Archetti ']",Electronic
Basel,The-Deslondes,2015-09-12,['The Deslondes '],
Zürich,Allstarz-Finest-Black-Music,2015-09-12,['DJs Kudos '],
Zürich,Balkankaravan,2015-09-12,[' Spery '],
