,location,event,date,artists,genre
0,Gstaad,Menuhin-Festival-Gstaad,2014-08-23,['Anna Fedorova '],['Classic']
1,Gr?nichen,Openair-Gr?nichen,2014-08-23,"['Heaven Shall Burn ', ' The Intersphere ', ' Deez Nuts ', ' Truckfighters ', ' Landscapes ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
2,Gr?nichen,Openair-Gr?nichen,2014-08-23,"['More Than A Thousand ', ' Black Space Riders ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
3,Basel,Orgelmusik-?ber-Mittag,2014-08-23,['Fran?oise H?rdi '],['Classic']
4,Lugano,Les-digitales,2014-08-23,[' Johnny Haway '],['Electronic']
5,null,Royal-Arena-Festival,2014-08-23,[' Ssio '],"['Hip', 'Hop', ""R'n'B""]"
6,Murten,Murten-Classics-Offen-f?r-Neues,2014-08-23,"['Matthias Kuhn ', ' works by Jan Martin M?chler ']",['Classic']
7,Z?rich,Kulturfestival-Integration,2014-08-23,"['Torch ', ' Luciano ', ' Simba Marara Sound ']","['Hip', 'Hop', ""R'n'B""]"
8,Luzern,Piano-Entertainment,2014-08-23,['Daniel Roos '],['Pop']
9,Basel,Concerts-Aurore,2014-08-23,"[' Stefan Vock ', ' Jean-Jacques D?nki ']",['Classic']
10,Luzern,Sinfoniekonzert-6,2014-08-23,[' Barbara Hannigan '],['Classic']
11,Pully,For-Noise,2014-08-23,"['Blondie ', ' Superdiscount 3 ', ' Thurston Moore ', ' When Saints Go Machine ']",['Pop']
12,Liestal,Emanuel-Reiter,2014-08-23,['Emanuel Reiter '],['Pop']
13,Solothurn,Dine-&-Dance,2014-08-23,"[' Alex Eigenmann ', ' Marco Th?rlemann ', ' Henry Dobler ', ' Rudi Bindella ', ' Christoph Schifferli ']",['Pop']
14,Pully,For-Noise,2014-08-23,"[' Gaspard Royant ', ' Jeanne Added ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
15,Luzern,Rezital-2-Violine,2014-08-23,['Midori '],['Classic']
16,Gstaad,Menuhin-Festival-Gstaad,2014-08-23,[' Janine Jansen '],['Classic']
17,Z?rich,Swiss-Charity-Concert,2014-08-23,"[' Koh Gabriel Kameda ', ' Lara Boschkor ']",['Classic']
18,Pully,For-Noise,2014-08-23,[' Sean Nicholas Savage '],['Pop']
19,Z?rich,Heilende-Kl?nge-aus-Indien,2014-08-23,['Shri Balaji '],"['world', 'music']"
20,Basel,Romantische-Klaviermusik,2014-08-23,"['Elena della Siega ', ' Alessandra Semenova ']",['Classic']
21,Murten,Murten-Classics-Sinfoniekonzert,2014-08-23,"[' Fiona Kraege ', ' Malcolm Kraege ']",['Classic']
22,null,Jeunes-talents,2014-08-23,"[' Patricia Bl?mli ', ' Jonas R?sch ']",['Classic']
23,Horw,Zebrahead,2014-08-23,['Zebrahead '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
24,Uster,Zugluft,2014-08-23,"[' Bruno Str?by ', ' Jonas Guggenheim ', ' Andrea Kirchhofer ']","['Jazz', 'Blues', 'Soul']"
25,Basel,Christoph-Stiefel's-Isorhythm-Orchestra,2014-08-23,"[' Sarah B?chi ', ' Bastian Stein ', ' Domenic Landolf ', ' Adrian Mears ', ' Christoph Stiefel ', ' Arne Huber ', ' Kevin Chesham ']","['Jazz', 'Blues', 'Soul']"
26,Z?rich,Musik-im-Rausch,2014-08-23,"['Deborah Marchetti ', ' Fabio di Casola ', ' Filip Saffray ', ' Jonas Iten ']",['Classic']
27,Uster,Tim-Owens,2014-08-23,['Tim Owens '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
28,Winterthur,Winterthurer-Musikfestwochen,2014-08-23,"['Damien Rice ', ' Other Lives ', ' Broken Twin ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
