,location,event,date,artists,genre
0,Basel,Bachelorkonzert,2013-06-21,['Lucía Mercedes Couto '],Classic
1,Basel,Bachelorkonzert,2013-06-21,[' Luis Alfredo Montes Meneses '],Classic
2,Basel,Bachelorkonzert,2013-06-21,"["" Alessandro D'Amico ""]",Classic
3,Basel,Bachelorkonzert,2013-06-21,[' Rafael Martinez '],Classic
4,Basel,Masterrezital,2013-06-21,[' Agnes Waibel '],Classic
5,Schmittner-Openair,Schmitten,2013-06-21,"[' Clutch ', ' Russkaja ']",
6,Luzern,Piano-Entertainment,2013-06-21,['Mega Horvath '],
7,Basel,Orgelspiel-zum-Feierabend,2013-06-21,['Susanne Doll '],Classic
8,Zürich,2-Tage-Strom,2013-06-21,"['Emptyset ', ' Miki Yui ']",Electronic
9,Arbon,Modus-Quartet,2013-06-21,"[' Antonello Messina ', ' Wege Wüthrich ', ' Lorenz Beyeler ', ' Omri Hason ']",
10,Zürich,Farbmusik-4-Jahreszeiten:-Sommer,2013-06-21,['Hanspeter Krüsi '],
11,Bern,I-Got-Rhythm,2013-06-21,"['Noëmi Nadelmann ', ' André Desponds ']",Classic
12,Basel,Concerts-Aurore-Basel,2013-06-21,['Pauline Haas '],Classic
13,Zürich,Richard-Wagner-in-Zürich,2013-06-21,[' Melanie Diener '],Classic
14,Zürich,Sommerkonzert,2013-06-21,"['Priska Walss ', ' Susanne Philipp ']",Classic
15,Bern,Harmonise,2013-06-21,"[' Yacin Elbay ', ' Anik Stuki ']",Classic
16,Schönenbuch,Primavera-d'amore,2013-06-21,"['Sharon Prushansky ', ' Kate Macoboy ', ' Jasmina Matijevic ', ' Emanuel Heitz ', ' Jedediah Allen ']",Classic
17,Solothurn,Uriah-Heep,2013-06-21,['Uriah Heep '],
18,Zürich,Lieber-en-Maa-im-Huus-als-gar-kei-Ärger,2013-06-21,"['Christine Lather ', ' Patricia Draeger ']",Pop
19,null,Fête-de-la-musique,2013-06-21,"[' Eddy Slovik', ' Red Fang ']",
20,Luzern,Very-British,2013-06-21,"[' Corina Schranz ', ' Sam Chapman ', ' Caroline Ritchie ']",Classic
21,Kulturfabrik-Kofmehl,Solothurn,2013-06-21,['Uriah Heep '],
22,Zürich,Gefallen-ist-Babylon-die-Grosse,2013-06-21,"[' Christine Wolff ', ' Liliane Glanzmann ', ' Rolf Romei ', ' Michael Jäger ']",Classic
23,null,Forest-Radio,2013-06-21,"[' Karin Meier ', ' Hannes Bürgi ', ' Claude Meier ', ' Christoph Steiner ']",
24,Winterthur,Helix,2013-06-21,"[' Andreas Stahel ', ' Roger Girod ', 'Jean Daniel Girod ', ' Tobias Hunziker ']",
25,Basel,Curtis-Salgado-Band,2013-06-21,['Curtis Salgado Band '],
26,Zürich,Gandhava-Veda,2013-06-21,"['Partha Bose ', ' Indranil Mallick ']",
27,Bern,KRS-One,2013-06-21,['KRS-One '],
28,Sursee,Muzak,2013-06-21,['Muzak '],
29,Bern,Pere-Ubu,2013-06-21,['Pere Ubu '],
30,Rote-Fabrik,Zürich,2013-06-21,['Tarrus Riley & Band '],
31,Zürich,Retrogott-&-Hulk-Hodn,2013-06-21,['Retrogott & Hulk Hodn '],Pop
32,KiFF,Aarau,2013-06-21,['Civil Civic '],
33,Lausanne,Reboot,2013-06-21,['Reboot '],Pop
34,Zürich,The-Montesas,2013-06-21,['The Montesas '],
