location,event,date,artists,genre
Zürich,Musikalische-Portraits,2015-02-16,"['Irmina Trynkos ', ' Sander Sittig ']",Classic
Zürich,Elliphant,2015-02-16,['Elliphant '],Pop
Zürich,The-Black-Keys-abgesagt,2015-02-16,['The Black Keys '],
Zürich,Bape,2015-02-16,"[' Luca Burkhalter ', ' Noah Punkt ', ' Paul Amereller ']",Pop
Zürich,Marlon-Roudette,2015-02-16,['Marlon Roudette '],Pop
null,Roli-Frei-&-the-Soulful-Desert,2015-02-16,"[' Roli Frei ', ' Peter Wagner ', ' Patrick Sommer ', ' Andi Wettstein ']",
null,Migros-Kulturprozent-Classics,2015-02-16,[' Daniil Trifonov '],Classic
Zürich,Betraying-The-Martyrs,2015-02-16,"['Betraying The Martyrs ', ' Texas In July ', ' Upon This Dawning ', ' Make Them Suffer ']",
Baden,Orioxy,2015-02-16,"[' Yael Miller ', ' Julie Campice ', ' Manu Hagmann ', ' Roland Merlinc ']",
Zürich,Stephen-Steinbrink,2015-02-16,['Stephen Steinbrink '],Pop
