location,event,date,artists,genre
Bad-Ragaz,Festival-Next-Generation-Perlen-zum-Sonntag,2016-02-14,"['Viktor Praxmarer ', ' Marcel Üstün ', ' Chouchane Siranossian ']",Classic
Zürich,Glantaler-Power-Men,2016-02-14,['Glantaler Power Men '],Pop
Birr,Brunchkonzert,2016-02-14,"[' Per Rosen ', ' Immanuel Witschi ', ' Tcha Simmons ']",
Bad-Ragaz,Festival-Next-Generation-Tastentiger,2016-02-14,"['Filippo Gorini ', ' Philipp Scheucher ', ' Robert Neumann ', ' Hao Zi Yoh ']",Classic
Zürich,Krönungsmesse,2016-02-14,"[' Alessio Allegrini ', ' Regula Mühlemann ', ' Violetta Radomirska ', ' Tino Brütsch ', ' Marc-Olivier Oetterli ']",Classic
Winterthur,La-dolce-vita,2016-02-14,"[' Dimitri Ashkenazy ', ' Katja Braunschweiler ', ' Katharina Weissenbacher ']",Classic
Zollikerberg,Musik-und-Texte-zum-1.-Fastensonntag,2016-02-14,"['Ulrich Knellwolf ', ' Eva Maria Hux ', ' Margrit Brincken-Schuler ']",Classic
null,Mozart-vs-Kozeluh-une-comparaison,2016-02-14,[' Sergio Azzolini '],Classic
Zürich,Havana-Super-Q,2016-02-14,"['Havana Super Q ', ' Alberto Munoz Martinez ', ' Humberto Zaldivar jr. ', ' Lazara Cachao ', ' Oscar Hernandes ', ' Barbaro Torres ']",
Bern,Kammermusik-an-der-Kramgasse,2016-02-14,"['Francois Sochard ', ' Lionel Cottet ']",Classic
Luzern,Reconception,2016-02-14,"['Lukas V. Gernet ', ' Martin Gasser ', ' Toni Bechtold ', ' Rafael Jerjen ', ' Sheldon Suter ']",
Zürich,Tortoise,2016-02-14,"['Tortoise ', ' Sam Prekop ']",
Zürich,Grandbrothers,2016-02-14,['Grandbrothers '],Pop
Bern,The-Unholy-Preachers,2016-02-14,['The Unholy Preachers '],
Bern,Amiina,2016-02-14,['Amiina '],
