location,event,date,artists,genre
Winterthur,Öffentliche-Generalprobe,2015-05-13,"[' Stella Doufexis ', ' Frank Martin ']",Classic
null,Mile(s)tones,2015-05-13,['Mile'],
Basel,Mimiko-Lobet-Gott-in-seinen-Reichen,2015-05-13,"[' Françoise Matile ', ' Jenny Högström ', ' Stefan Kahle ', ' Akinobu Ono ', ' Valerio Zanolli ']",Classic
Zürich,Präsentation-Master-of-Arts-in-Musikpädagogik,2015-05-13,['Flurina Sarott '],Classic
Zürich,Christi-Himmelfahrt,2015-05-13,"['Peter Rey ', ' Felix Gubser ']",Classic
Zürich,Präsentation-Master-of-Arts-in-Musikpädagogik,2015-05-13,['Marielle Kalisky '],Classic
Weggis,Anthony-Caputo,2015-05-13,['Anthony Caputo '],
null,Mile(s)tones,2015-05-13,['Mile'],
Luzern,Piano-Entertainment,2015-05-13,['Jozsef Sarkozy '],Classic
Zürich,Our-Last-Night,2015-05-13,"['Our Last Night ', ' support: Palisades ']",
Zürich,Rezital-Master-Specialized-Music-Performance-Solist,2015-05-13,['Rustem Monasypov '],Classic
Basel,Massimo-Ranieri,2015-05-13,['Massimo Ranieri '],Pop
Luzern,Zaubersee-Russian-Music-Lucerne,2015-05-13,"[' Oliver Triendl ', ' Katia Labèque ', ' Marielle Labèque ']",Classic
Zürich,À-travers-à-trois,2015-05-13,"['Sarah Giger ', ' Sarah van Cornewal ', ' Nadja Camichel ', ' Martin Lorenz ']",Classic
Winterthur,Sibelius-4-Le-Roy-a-fait-battre-tambour,2015-05-13,"[' Stella Doufexis ', ' Frank Martin ']",Classic
Basel,Masterrezital,2015-05-13,['Benedek Horváth '],Classic
Zürich,Tonhalle-Orchester-Zürich,2015-05-13,"[' Kim-Lillian Strebel ', ' Lisa Wedekind ', ' Robin Adams ']",Classic
Luzern,Jazz-Meets-Reggae,2015-05-13,"[' Monty Alexander ', ' Hassan Shakur ', ' Obed Calvaire ', ' Andy Bassford ', ' Joshua Thomas ', ' Karl Wright ']",
Zürich,Konzert-des-Akademischen-Kammerochesters-Zürich,2015-05-13,[' Luís Vieira '],Classic
Zürich,Frei-Wild,2015-05-13,['Frei Wild '],
Dietikon,Vasilis-Karras,2015-05-13,['Vasilis Karras '],
Zürich,Denn-wie-Mann-sich-bettet-Ein-kurtweilliger-Liederabend,2015-05-13,"['Christian Jott Jenny ', ' Edward Rushton ', ' Markus Notter\r\n ']",Pop
Zürich,Torche,2015-05-13,['Torche '],
Winterthur,Gloria-Volt,2015-05-13,['Gloria Volt '],
Chur,Beton,2015-05-13,"[' Irina Ungureanu ', ' Riccarda Caflisch ', ' Manfred Spitaler ', ' Jens Bracher ', ' David Sontòn Caflisch ', ' Genevieve Camenisch ', ' Christian Hieronymi ', ' Guy Frisch ', ' Asiya Ahmetjanova ']",Classic
Zürich,Rodriguez,2015-05-13,"['Rodriguez ', ' Sixto Rodriguez ', ' Matthew Smith ', ' Maree Thom ', ' Sebastian Beresford ']",Pop
Luzern,Abwechslung,2015-05-13,"['Martial Von Albon ', ' Domenic Landolt ']",Electronic
Wil,Alcoholic-Faith-Mission,2015-05-13,['Alcoholic Faith Mission '],
Luzern,Peter-Broderick-&-Band,2015-05-13,['Peter Broderick & Band '],
Zürich,Annenmaykantereit,2015-05-13,"['Annenmaykantereit ', ' Vierkanttretlager ']",Pop
Bern,And-So-I-Watch-You-from-Afar,2015-05-13,['And So I Watch You From Afar '],
Zürich,Jazzbaragge-Wednesday-Jam,2015-05-13,"['Chris Wiesendanger ', ' Toni Schiavano ', ' Flo Reichle ']",
Pratteln,Evergrey,2015-05-13,['Evergrey '],
Zürich,Ensemble-5-Wednesday-4+1-Series,2015-05-13,"['Fridolin Blumer ', ' Heinz Geisser ', ' Robert Morgenthaler ', ' Reto Staub ', ' Scott Fields ']",
Winterthur,Ghost-Town-Trio-feat.-Birgit-Hauser,2015-05-13,"[' Birgit Hauser ', ' Urs Vögeli ', ' Claude Meier ', ' Emanuel Küenzi ']",
Baden,Tom-Waits-Balladen,2015-05-13,"[' Jaap Achterberg ', ' Franco Mettler ', ' Nick Gutersohn ', ' Thomas Weber ', ' Jojo Kunz ']",Pop
Baden,Endlich-Mittwoch-Pianoplus,2015-05-13,"['Christoph Stiefel ', ' Lisette Spinnler ']",Classic
Winterthur,Jazz-am-Mittwoch,2015-05-13,"[' Franz Hellmüller ', ' Stefano Risso ', ' Marco Zanoli ']",
Zürich,Rezital-Master-Music-Performance-Konzert,2015-05-13,['Jemma Abrahamyan '],Classic
Bern,Carrousel,2015-05-13,"[' Sophie Burande ', ' Léonard Gogniat ', ' Mathieu Friz ', ' Christian Bron ', ' Thierry Cattin ']",Pop
Basel,Gino-Sitson's-Voistrings-feat.-Dondieu-Divin,2015-05-13,"[' Gino Sitson ', ' Fayçal Salhi ', ' Dondieu Divin ', ' Julia Robert ', ' Juliette Serrad ']",
Zürich,Melanoia,2015-05-13,"['Melanoia ', ' Hayden Chrisholm ', ' Achim Kaufmann ', ' Ronny Graupe ', ' Dejan Terzic ']",
Zug,Oysterband,2015-05-13,['Oysterband '],
Lausanne,Taymir,2015-05-13,['Taymir '],
null,Alf-Pastix,2015-05-13,"[' Max Torche ', ' Peter Forster ', ' Pauline Torche ', ' Pauline Gaccond ', ' Damien Guisolan ', ' Mimmo Pisino ']",Pop
null,The-KVB,2015-05-13,"['The KVB ', ' Minuit Machine ']",Electronic
Kriens,Schnellertollermeier,2015-05-13,"['Schnellertollermeier ', ' Andi Schnellmann ', ' Manuel Troller ', ' David Meier ']",
Zürich,Bukowski-Spezial,2015-05-13,['Warias '],
Schaffhausen,Mellow-Mood,2015-05-13,['Mellow Mood '],
