location,event,date,artists,genre
Gampel,Open-Air-Gampel,2013-08-18,"['Asaf Avidan ', ' Larry and His Flask ']",
Zürich,Dhrupad-Gesang-aus-Nordindien,2013-08-18,"['Amit Kumar Sharma Bandhavi ', ' Pandit Mohan Shyam Sharma ']",
null,Kammermusik-Streichquartett-I,2013-08-18,"[' Matthias Enderle ', ' Susanne Frank ', ' Wendy Champney ', ' Stephan Goerner ']",Classic
Riehen,Klangraum-Riehen-Marlboro,2013-08-18,['Juho Pohjonen '],Classic
Festivalgelände-am-Rotten,Gampel,2013-08-18,"['Gentleman ', ' Max Herre ']",Gentleman
Fischingen,Orgelkonzert,2013-08-18,"['Christoph Wartenweiler ', ' Heinz Balli ']",Classic
Steinberggasse,Winterthur,2013-08-18,"['Alice Russell ', ' Françoiz Breut ']",
Zumikon,Konzert-zu-Maria-Himmelfahrt,2013-08-18,"['Marietta Bosshart ', ' Margrit Brincken-Schuler ']",Classic
Münchenwiler,Barockkonzert,2013-08-18,"['Maurice Steger ', ' Naoki Kitaya ']",Classic
null,Music-for-a-While,2013-08-18,"['Beatrice Voellmy ', ' Alexander Seidel ']",Classic
Zweisimmen,La-tromba-veneziana,2013-08-18,"[' Gábor Boldoczki ', ' conductor: Andrés Gabetta ']",Classic
Les-Diablerets,Gletscherkonzert-Geige-im-ewigen-Eis,2013-08-18,['Patricia Kopatchinskaja '],Classic
Winterthur,Generations-Unit-2012,2013-08-18,"[' Tim Hurley ', ' Lukas Gabric ', ' Christoph Neuhaus ', ' Mátyás Gayer ']",Pop
Horgen,Sag-welch-wundersame-Träume-halten-meinen-Sinn-umschlungen,2013-08-18,"['Stephanie Bühlmann ', ' Ornella Lapadula ', ' Christian J. Jenny ', ' Raimund Wiederkehr ', ' Michael Raschle ', ' Regula Maurer ', ' Heiner Wanner ', ' Philipp Mestrinel ', ' Christof Oswald ']",Classic
Basel,Zauber-&-Bannsprüche-aus-alter-Zeit,2013-08-18,['Vokalensemble Putni '],Classic
Zürich,Bent-Van-Looy,2013-08-18,['Bent Van Looy '],Pop
Kirchplatz,Winterthur,2013-08-18,['Dota '],Dota
Zürich,Bombino,2013-08-18,['Bombino '],
