,location,event,date,artists,genre
0,Luzern,Salzburger-Neujahrskonzert,2014-01-05,[' conductor: Benjamin Schmid '],Classic
1,-Alte-Kirche,Boswil,2014-01-05,[' Robert Pickup '],Classic
2,Zürich,Opera-Box-L'île-de-Tulipatan-&-Monsieur-Choufleury,2014-01-05,"[' Andrea Suter ', ' Chelsey Schill ', ' Maja Hermann ', ' Raimund Wiederkehr ', ' Erich Bieri ']",Classic
3,Pieterlen,Prelude,2014-01-05,"['Prelude ', ' Brian Hume ', ' Irene Hume ', ' Ian Vardy ']",
4,Zürich,Neujahrskonzert,2014-01-05,"['Fides Auf der Maur ', ' Anna Brunner ', ' Hannes Bärtschi ', ' Christopher Jepson ']",Classic
5,null,Sonntags-um-5,2014-01-05,"['Juliana Georgieva ', ' Christian Müller ', ' Emilian Dascal ', ' Anna Tyka Nyffenegger ', ' Stefka Perifanova ']",Classic
6,Seuzach,Wien-Wien-Wien,2014-01-05,"['Renée Schüttengruber ', ' Barbara Ciannamea ', ' John Uhlenhopp ', ' Claude Hauri ', ' Leitung und Moderation: Daniel Moos ']",Classic
7,Zürich,Das-andere-Neujahrskonzert,2014-01-05,"[' Phillipe Morard ', ' Thomas Weber ', ' works by Dirigent Mario Beretta ']",Classic
8,Palais-des-Congrès,null,2014-01-05,"['Carmen Fernandez Castillo ', ' Diego Rocha ']",Classic
9,Zürich,30-Jahre-Intakt,2014-01-05,"['Monks Casino ', ' Alexander von Schlippenbach ', ' Axel Dörner ', ' Rudi Mahall ', ' Jan Roder ', ' Uli Jennessen ']",
10,Aarau,Neujahrskonzert,2014-01-05,"[' Stephanie Pfeffer ', ' Andreas Scheidegger ']",Classic
11,Luzern,Neujahrskonzert-mit-Angelika-Kirchschlager,2014-01-05,[' Angelika Kirchschlager '],Classic
