location,event,date,artists,genre
Luzern,Piano-Entertainment,2013-10-04,['Fabienne Ambühl '],
Basel,Orgelspiel-zum-Feierabend,2013-10-04,['Per Arne Løvold '],Classic
Zürich,50-Jahre-Zürcher-Konzertchor-Die-Schöpfung,2013-10-04,"[' Hanna Zumsande ', ' Werner Güra ', ' Klaus Mertens ']",Classic
Komplex-Klub,Zürich,2013-10-04,['Genetikk '],Genetikk
Basel,Rosenkranz-Sonaten-1-5,2013-10-04,"['Katia Viel ', ' Eva Saladin ', ' Anais Chen ']",Classic
Zürich,Acoustic-Friday-The-Sibyl's-Promise,2013-10-04,"[' Sibyl Hofstetter ', ' Francesco Diomaiuta ', ' Raphael Loher ', ' Daniel Stocker ', ' Maris Egli ']",
Basel,Plucks,2013-10-04,['Peter Croton '],Classic
Les-Docks,Lausanne,2013-10-04,['Kery James '],
Zürich,Most-of-the-Time,2013-10-04,"[' Aaron Wegmann ', ' Felix Mueller ', ' Olivier Werlen ', ' Seraphim von Werra ']",
null,Gitarre,2013-10-04,['Juan Falù '],
Solothurn,Frozen-Angels,2013-10-04,"['Frozen Angels ', ' Anja Dietle ', ' Pat Richard ', ' Vito Vitacca ', ' Dusan Mircovic ', ' Nedja Ilic ', ' Küsu Walther ']",
Luzern,Rozbub,2013-10-04,['Rozbub '],
Zürich,Marla-Glen,2013-10-04,['Marla Glen '],
Zürich,Toxkäpp,2013-10-04,['Toxkäpp '],
Zürich,Ich-gönne-dir-diese-Musik-nicht,2013-10-04,"[' Simone Keller ', ' Rea Claudia Kost ', ' Niklaus Kost ']",Classic
Pratteln,Poets-of-the-Fall,2013-10-04,['Poets of the Fall '],
Altikon,Herbie's-Explo-3000,2013-10-04,"[' Adi Pflugshaupt ', ' Hans Feigenwinter ', ' Herbie Kopf ', ' Pius Baschnagel ']",
Uster,Ron-Bumblefoot-Thal,2013-10-04,['Ron Bumblefoot Thal '],
Winterthur,Kimm-Trio,2013-10-04,"[' Philipp ZRotz ', ' Marc Jenny ', ' Emanuel Künzi ']",
Dietikon,Marc-Soskin-Quartet,2013-10-04,"[' Mark Soskin ', ' Roberto Bossard ', ' Gildas Bocle ', ' Elmar Frey ']",
Zürich,Mersault-&-Strinning-Troller-Warmenbol,2013-10-04,"[' Tomas Korber ', ' Christian Weber ', ' Christian Wolfarth ', ' Sebastian Strinning ', ' Manuel Troller ', ' Jakob Warmenbol ']",
Dübendorf,Pasta-&-Piano,2013-10-04,"[' Christoph Flueler ', ' Andres Käch ', ' Frank Rösler ', ' Moritz Meyer ', ' Fredi Schmid ']",
Uster,Raphael-Jost-Trio-feat.-Brandy-Butler,2013-10-04,"[' Brandy Butler ', ' Raphael Jost ', ' Raphael Walser ', ' Jonas Ruther ']",
Basel,Lucerne-Jazz-Orchestra,2013-10-04,"[' David Grottschreiber ', ' David Grottschreiber ']",
Zürich,Nils-Wogram-Root-70-&-Strings,2013-10-04,"['Nils Wogram Root 70 & Strings ', ' Nils Wogram ', ' Hayden Chisholm ', ' Matt Penman ', ' Jochen Rückert ', ' Gerdur Gunnarsdottir ']",
null,Miroir-Bach,2013-10-04,"[' Laurence Guillod ', ' Violetta Radomirska ', ' Michèle Fähndrich ', ' Daniel Issa ']",Classic
Winterthur,Automatic-Sam,2013-10-04,['Automatic Sam '],
Zug,The-Lurkers,2013-10-04,"['The Lurkers ', ' The Pikes ']",
Zürich,Viertel-vor-Vier,2013-10-04,"[' Fabian Willmann ', ' Fabian Hessel ', ' Yannik Sandhofer ', ' Konstantin König ']",
Baden,Katy-&-The-Escort-Orchstra,2013-10-04,['Katy & The Escort Orchstra '],
Luzern,Lilabungalow,2013-10-04,"['Lilabungalow ', ' Bombee ']",Pop
Basel,Anna-von-Hausswolff,2013-10-04,"['Anna von Hausswolff ', ' support: Julia Kent ']",Pop
null,Jam-With-Thomas-Family,2013-10-04,"['Jérôme Thomas ', ' Jean-Daniel Thomas ', ' Patrick Perrier ']",
null,Les-Ogres-de-Barback,2013-10-04,['Les Ogres de Barback '],Pop
Bern,Hibiscus,2013-10-04,"['Hibiscus ', ' Stefanie Ruchti ', ' Maria Lobsiger ', ' Karin Kämpf ', ' Dominik Robellaz ', ' Sven Küenzi ', ' Urs Rüegsegger ', ' Jan Müller ', ' Pascal Roggli ']",Pop
Sursee,Sea-+-Air,2013-10-04,['Sea + Air '],Pop
Rubigen,Spin-Doctors,2013-10-04,['Spin Doctors '],
Aarburg,Layla-Zoe-&-Band,2013-10-04,['Layla Zoe & Band '],
Aarau,Amewu,2013-10-04,['Amewu '],
Münchenstein,Käpt'n-Peng-&-Die-Tentakel-von-Delphi,2013-10-04,"[""Käpt'n Peng & Die Tentakel von Delphi ""]",Pop
Lausanne,Phat-Fred,2013-10-04,"['Phat Fred ', ' The Sweet Vandals ', ' DJs Amir ']",
Lausanne,The-Boxer-Rebellion,2013-10-04,['The Boxer Rebellion '],Pop
Zürich,Vendredi-soir-swing,2013-10-04,"[' Valentin Baumgartner ', ' David Heinzman ', ' Daniel Stocker ']",
Zürich,N.O.R.E,2013-10-04,['N.O.R.E '],
null,Michelangelo-Quartet,2013-10-04,"[' Michelangelo Pagano ', ' Fanny Menegoz ', ' Karsten Hochapfel ']",
Zürich,Peetah-Morgan,2013-10-04,"['Peetah Morgan ', ' Pa Ous ']",
Basel,Simian-Mobile-Disco-Live,2013-10-04,['Simian Mobile Disco '],Electronic
Schaffhausen,Otto-Normal,2013-10-04,['Otto Normal '],Electronic
Zürich,3-Jahre-Frieda's-Büxe,2013-10-04,['DJs Guillaume & The Coutu Dumonts '],Electronic
