location,event,date,artists,genre
Zürich,Klavierrezital,2016-10-14,['Aleksandra Mikulska '],Classic
Bad-Ragaz,Music-Connects-Rezital,2016-10-14,"['Andrei Ionita ', ' Mario Häring ']",Classic
Zürich,Top-Party-Band,2016-10-14,['Top Party Band '],Pop
Basel,Orgelspiel-zum-Feierabend,2016-10-14,['Susanne Doll '],Classic
Dietikon,Feierabendmusik-in-der-Kirche,2016-10-14,"['Christine Müller ', ' Bernhard Hörler ']",Classic
Zürich,Bündner-Kammerphilharmonie,2016-10-14,['Aleksandra Mikulska '],Classic
Zürich,Mozart-Das-musikalische-Vermächtnis-2,2016-10-14,[' Cecilia Bernardini '],Classic
Zürich,Blumentopf,2016-10-14,['Blumentopf '],
Pratteln,Dire-Strats,2016-10-14,['Dire Strats '],
Bern,The-Baseballs,2016-10-14,['The Baseballs '],
Schaffhausen,Schandmaul,2016-10-14,['Schandmaul '],
Uster,LGT-Young-Soloists,2016-10-14,"['David Nebel ', ' Elena Kawazu ', ' Marina Seltenreich ']",Classic
Zürich,Royal-Republic,2016-10-14,"['Royal Republic ', ' Dinosaur Pile-Up ', ' Tim Vantol ']",
Zürich,Galantis,2016-10-14,['Galantis '],Electronic
Zürich,Werkstattkonzert,2016-10-14,"['Mitsuaki Matsumoto ', ' Jürg Gasser ', ' Peter K Frey ', ' Dieter Ulrich ']",
Bülach,Joe-Haider-Jazz-Orchestra-feat.-Kaleidoscope-String-Quartet,2016-10-14,"[' Joe Haider ', ' Daniel Blanc ', ' Jürg Bucher ', ' Thomi Geiger ', ' Matthias Spielmann ', ' René Mosele ']",
Winterthur,Thelonious-4,2016-10-14,"[' Iman Spaargaren ', ' Guillermo Celano ', ' Andreas Metzler ', ' Jurjen Bakker ']",
Stäfa,Marco-Pollastri,2016-10-14,['Marco Pollastri '],Pop
Stäfa,The-Waffle-Machine-Orchestra,2016-10-14,"[' Colas Vuilleumir ', ' Frank Powlesland ', ' Jaroo Hoehener ', ' Josephine Nagorsnik ', ' Léa Rovero ']",
Olten,Collie-Herb-&-The-Mighty-Roots,2016-10-14,['Collie Herb & The Mighty Roots '],
Liebefeld,Hello-Truffle,2016-10-14,"['Hello Truffle ', ' Matthias Wenger ', ' Nick Perrin ', ' Philipp Moll ', ' Christoph Steiner ']",
Basel,Christoph-Stiefel-Septet,2016-10-14,"[' Sarah Büchi ', ' Bastian Stein ', ' Domenic Landolf ', ' Adrian Mears ', ' Christoph Stiefel ', ' Arne Huber ', ' Kevin Chesham ']",
Bad-Ragaz,Music-Connects-Rezital,2016-10-14,"['Yury Revich ', ' Mario Häring ']",Classic
Aarau,White-Miles,2016-10-14,['White Miles '],
Zürich,Jesse-Mac-Cormack,2016-10-14,"['Jesse Mac Cormack ', ' Rozi Plain ']",
Frauenfeld,Big-Daddy-Wilson,2016-10-14,['Big Daddy Wilson '],
Basel,Two-and-Yuna-&-Volta-Volta,2016-10-14,"[' Chantal Krebs ', ' Luzian Graber ', ' Mischa ', ' Cyrill ', ' Simi ', ' Mario ', ' Marc ']",Pop
Lausanne,The-Chainsmokers,2016-10-14,['The Chainsmokers '],Electronic
Sankt-Gallen,Gastrecht-Planet-Rock-lädt-ein,2016-10-14,"['Hailu Mergia w. Tony Buck & Mike Majkowski ', "" Mark Ernestus' Ndagga Rhythm Force "", ' DJ Fett ']",Pop
Aarau,Don-Bronco,2016-10-14,"['Don Bronco ', ' The One Hundred ', ' Merge ']",
Düdingen,N.A.A.F.I.-Showcase,2016-10-14,"['N.A.A.F.I. Showcase feat. Lao & Mexican Jihad & Fausto Bahìa ', ' Foodman ']",Electronic
Luzern,Tribute-to-Chet-Baker,2016-10-14,"[' Barbara Balzan ', ' Esther Bächlin ', ' Raetus Flisch ', ' Tony Renold ']",
Luzern,Ssio,2016-10-14,['Ssio '],
Luzern,Bayonne,2016-10-14,['Bayonne '],Pop
Basel,The-Orions,2016-10-14,['The Orions '],
