location,event,date,artists,genre
Gstaad,Matinée-des-jeunes-étoiles-VIII,2013-09-07,['Maurice Steger '],Classic
Basel,Kleinbasler-Gedenkfeier,2013-09-07,"[' Aurea Marston ', ' Tobias Hächler ']",Classic
Stockhorn-Arena,Thun,2013-09-07,['The Bosshoss '],
Le-Noirmont,Chant-du-Gros,2013-09-07,"['Barclay James Harvest feat. Les Horloyd ', ' Asian Dub Foundation ', ' ZAZ ', ' Raphael ', ' Sergent Garcia ', ' Youssoupha ', ' Griefjoy ']",Pop
Spreitenbach,Open-Circle-Festival,2013-09-07,"['Nile ', ' Ex Deo ', ' Impaled Nazarene ', ' Blynd ', ' Skindred ']",
La-Tour-de-Peilz,Nox-Orae,2013-09-07,"['Junip - José González ', ' Bombino ']",
Basel,Concerts-Aurore-Jeunes-interprètes,2013-09-07,"['Miriam Wettstein ', ' Mikhail Sporov ']",Classic
Luzern,Piano-Entertainment-Easy-Pop-Melodies,2013-09-07,['Christian Mettler '],Pop
Veyras,Tohu-Bohu-Festival,2013-09-07,"['The Herbaliser ', ' Groundation ', ' The Toxic Avenger ']",
Basel,A-Late-Summer-Night's-Dream,2013-09-07,"['Maho Yamada ', ' Regula Bernath ']",Classic
Schwarzsee,Country-Night-Schwarzsee,2013-09-07,"[' Johnny Trouble ', ' South Mountain ']",
Luzern,Lucerne-Festival,2013-09-07,[' Martina Janková '],Classic
null,Paddy-Kelly,2013-09-07,['Paddy Kelly '],Pop
Montreux,Royal-Philharmonic-Orchestra-London,2013-09-07,"[' Martha Argerich ', ' Andrea Meláth ', ' Balint Szabo ']",Classic
-Alte-Kirche,Boswil,2013-09-07,[' Johanna Kunz '],Classic
Gstaad,Meeresstille-und-Flussidylle,2013-09-07,"[' Lily Maisky ', ' Sascha Maisky ', ' Mischa Maisky ']",Classic
Luzern,Lucerne-Festival,2013-09-07,[' Mitsuko Uchida '],Classic
Wetzikon,Beifuss-Festival,2013-09-07,"[' Sicknote ', ' Das Fortleben ']",Electronic
Oberengstringen,Nicole-Herzog-Stewy-von-Wattenwyl-Trio,2013-09-07,"[' Nicole Herzog ', ' Stewy von Wattenwil ', ' Christoph Utzinger ', ' Tobias Friedli ']",
Allschwil,Rainer-Brüninghaus,2013-09-07,['Rainer Brüninghaus '],
Zürich,Kirchenmusik-der-Romantik,2013-09-07,"[' Franziska Wigger ', ' Alexandra Forster ', ' Daniel Leo Meier ', ' Christian Marthaler ']",Classic
Lichtensteig,Dodo-Hug-&-Efisio-Contini,2013-09-07,['Dodo Hug & Efisio Contini '],Pop
Frick,Duo-Abend,2013-09-07,"['Aglaia Graf ', ' Manrico Padovani  ']",Classic
Uster,Beat-&-Ernesto,2013-09-07,"[' Ernesto Voegeli ', ' Beat Binder ']",Pop
Sursee,Yesterday-I-Had-Roadkill,2013-09-07,['Yesterday I Had Roadkill '],
Basel,Parallels,2013-09-07,"[' Nicolas Masson ', ' Colin Vallon ', ' Patrice Moret ', ' Lionel Friedli ']",
Pratteln,Moon-Safari,2013-09-07,['Moon Safari '],
Zürich,Backwash,2013-09-07,['Backwash '],
Jona,Latino-Sommer-Party,2013-09-07,[' live: El Mayoral '],
Zürich,Th.-Hoffmann,2013-09-07,['Th. Hoffmann '],
Solothurn,David-Ferrari,2013-09-07,['David Ferrari '],
Bern,Rod-&-The-Shotgun-Blues,2013-09-07,"[' Rod Barthet ', ' Marc Pompanon ', ' Nico Szuch ']",
Bern,Sonic-Movements-No-2,2013-09-07,"['Björn Meyer ', ' Don Li ']",
Schaffhausen,Wordly-Savages,2013-09-07,['Wordly Savages '],
Lyss,Westside-Connection,2013-09-07,"['Westside Connection ', ' Foesum ', ' DJs Crazy Toones ']",
Lausanne,Electrosanne,2013-09-07,['DJs Cashmere Cat '],
