,location,event,date,artists,genre
0,Zürich,Peggy-Chew-Trio,2015-12-22,"[' Peggy Chew ', ' Adrian Frey ', ' Christoph Grab ', ' Robert Ashby ']",
1,Bubikon,Weihnachtskonzert,2015-12-22,"[' Christine Meyer ', ' Mathias Kleiböhmer ']",Classic
2,Zürich,Masterinterpreten-Opus-VI,2015-12-22,"[' Maria Solozobova ', ' Alexander Zemtsov ', ' Svetlana Makarova ']",Classic
3,Zürich,Weihnachtskonzert,2015-12-22,['Alexander Malofeev '],Classic
4,Olten,I-Barocchisti,2015-12-22,['Maurice Steger '],Classic
5,Basel,Noël!-Ein-Abend-voller-Vorfreude-für-17-Sternsinger-und-Harfe,2015-12-22,[' Vera Schnider '],Classic
6,Bern,The-Luck,2015-12-22,['The Luck '],Pop
7,Zürich,Plaistow,2015-12-22,"[' Johann Bourquenez ', ' Vincent Ruiz ', ' Cyril Bondi ']",
