location,event,date,artists,genre
Luzern,Piano-Entertainment,2013-10-01,['Mark Tenger '],
Winterthur,Caleido-Duo,2013-10-01,"['Sabrina Bäbler ', ' Benjamin Kellerhals ']",Classic
Zürich,Rainald-Grebe,2013-10-01,['Rainald Grebe '],Pop
Zürich,Rainald-Grebe,2013-10-01,['Rainald Grebe '],Pop
Flurlingen,Kölsches-Mitsingkonzert,2013-10-01,['Björn Heuser '],Pop
Zürich,Peter-Ratzenbeck,2013-10-01,['Peter Ratzenbeck '],
Aarau,Audrey-Horne,2013-10-01,"['Audrey Horne ', ' Karma To Burn ', ' Gold ']",
Komplex-457,Zürich,2013-10-01,"['Wiz Khalifa ', ' Trinidad James ']",
Zürich,Balmorhea,2013-10-01,"['Balmorhea ', ' JBM ']",
Zürich,Biondini-Godard-Niggli,2013-10-01,"[' Luciano Biondini ', ' Michel Godard ', ' Lukas Niggli ']",
Luzern,Django-Bates,2013-10-01,"[' Django Bates ', ' ClaireHuguenin ', ' Nolan Quinn ', ' Linus Amstad ', ' Sebastianvon Keler ', ' Maro Widmer ', ' Alexandre Soussi ', ' Florian Möbes ', ' Christian Spahni ', ' Daniel Weber ']",
Zürich,Mas-Shake,2013-10-01,"['Mas Shake ', ' Rod González ', ' Michell Gutiérrez Gómez ', ' Tomás Fuentes ', ' Katy del Carmen ']",
Basel,Reto-Suhner-Quartet,2013-10-01,"[' Reto Suhner ', ' Philip Henzi ', ' Silvan Jeger ', ' Dominic Egli ']",
Zürich,Alex-Huber,2013-10-01,"[' Philipp Gropper ', ' John Schröder ', ' Oliver Potratz ', ' Alex Huber ']",
Zürich,Twilight-Empire,2013-10-01,['She Past Away '],
