location,event,date,artists,genre
Gstaad,Matinée-des-jeunes-étoiles-III,2016-07-30,['Schaghajegh Nosrati '],Classic
Verbier,Verbier-Festival,2016-07-30,[' Andras Schiff '],Classic
Basel,Faszination-Orgel,2016-07-30,['Christoph Bogon '],Classic
Etziken,Openair-Etziken,2016-07-30,"[' Donots ', ' Milow ', ' Glasperlenspiel ']",
Bern,No-Borders-No-Nations-Sommerfest,2016-07-30,['Terrorgruppe '],
Verbier,Verbier-Festival,2016-07-30,[' Daniel Lozakovitj '],Classic
Menziken,Mutterschiff-Openair,2016-07-30,['Levent & Taylor '],
Menziken,Mutterschiff-Openair,2016-07-30,"['Wallis Bird ', ' Transmitter ']",
Langnau-am-Albis,Langnau-Jazz-Nights,2016-07-30,"[' Magos Herrera ', ' David Gilmore ']",
St.-Moritz,Festival-da-Jazz,2016-07-30,"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Philipp Ackermann ', ' Michael Jeup ', ' Rolf Lyssy ']",
Basel,Basel-Tattoo,2016-07-30,"['Canadiana Celtic Highland Dancers ', ' The Band of HM Royal Marines ', ' Conscript Band of the Finnish Defence Forces ', ' Fanfare du 27ème bataillon de chasseurs alpins ']",traditional
null,22.-Waldrock-Open-Air,2016-07-30,[' New Jersey '],
Verbier,Verbier-Festival,2016-07-30,"['Leonidas Kavakos ', ' Roman Simovic ', ' Blythe Teh Engstroem ', ' Gautier Capucon ', ' Martin Fröst ', ' Yuja Wang ']",Classic
Saanen,Rhapsody,2016-07-30,"[' Fazil Say ', ' Gabor Boldoczki ']",Classic
Verbier,Verbier-Festival,2016-07-30,['Sergei Babayan '],Classic
Arlesheim,Stimmen,2016-07-30,['Travis '],Pop
null,Langnau-Jazz-Nights,2016-07-30,"[' Gonzalo Rubalcaba ', ' Jose Armando Gola ', ' Horacio ""El Negro"" Hernandez ']",
St.-Moritz,Festival-da-Jazz,2016-07-30,"[' Daniel Schnyder ', ' Adam Taubitz ', ' Seraina Pfenninger ', ' Anne Battegay ', ' Esther Fritzsche ', ' Jonas Vischi ', ' Daniel Pezzotti ', ' Raetus Flisch ', ' Toni Renold ']",
Thun,Am-Schluss,2016-07-30,['Maïa Barouh '],Pop
Zürich,Method-Man-&-Redman,2016-07-30,['Method Man & Redman '],
Basel,Basel-Tattoo,2016-07-30,"['Canadiana Celtic Highland Dancers ', ' The Band of HM Royal Marines ', ' Conscript Band of the Finnish Defence Forces ', ' Fanfare du 27ème bataillon de chasseurs alpins ']",traditional
St.-Moritz,Festival-da-Jazz,2016-07-30,"[' Greg Galli ', ' Erich Hunziker ', ' Herbie Kopf ', ' Simon Kistler ']",
