,location,event,date,artists,genre
0,Basel,Masterrezital,2014-05-15,[' Diana Alexandru '],['Classic']
1,Baden,After-Work,2014-05-15,"[' Hans Rothenb?hler ', ' Bruno Gandet ', ' Erich Gandet ', ' Tico Keller ', ' Bruno Huwyler ']","['Jazz', 'Blues', 'Soul']"
2,Basel,Masterrezital,2014-05-15,[' Caterina Comas Hervada '],['Classic']
3,Aarau,Sea-+-Air,2014-05-15,['Sea + Air '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
4,Luzern,The-Retro-Festival,2014-05-15,['Kim Wilde '],['Pop']
5,Basel,Masterrezital,2014-05-15,[' Teodor Dimitrov '],['Classic']
6,Z?rich,Beethoven-Zyklus-I,2014-05-15,[' Radu Lupu '],['Classic']
7,Z?rich,Fr?hlingskonzert,2014-05-15,[' Jordi Bertran-Sastre '],['Classic']
8,KKL,Luzern,2014-05-15,['Anoushka Shankar '],"['Anoushka', 'Shankar']"
9,Bern,Die-Italienische,2014-05-15,[' Sol Gabetta '],['Classic']
10,null,10.-Tonhallekonzert-M?rchenerz?hlungen,2014-05-15,['Agata Szymczewska '],['Classic']
11,Z?rich,Thursday-Night-Jazz,2014-05-15,"[' Rebecca Spiteri ', ' J?rg Ramspeck ', ' Joel Reiff ', ' Rolf Lyssy ']","['Jazz', 'Blues', 'Soul']"
12,Z?rich,Cherub-abgesagt,2014-05-15,['Cherub '],['Pop']
13,Z?rich,Soundcane,2014-05-15,['Soundcane '],['Pop']
14,Z?rich,ZHdK-Masters-of-Jazz,2014-05-15,"[' Lena Minder ', ' Philipp Eden ', ' Ram?n Oliveras ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
15,Z?rich,Takes-Two,2014-05-15,"[' Ruth Bieri ', ' Helen Davey ']","['world', 'music']"
16,Z?rich,Songs-from-Utopia,2014-05-15,"['Songs from Utopia ', ' Rebekka Zarkava ', ' Jura Dolezal ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
17,Winterthur,Carmen-Fenk,2014-05-15,"[' Carmen Fenk ', ' Sandro Vetsch ', ' Dani Zihlmann ', ' Nick Mens ', ' Andy Oswald ']",['Pop']
18,Z?rich,Dan-Wilde,2014-05-15,"['Dan Wilde ', ' Tom Copson ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
19,Z?rich,Triggerfinger,2014-05-15,"['Triggerfinger ', ' The Sore Losers ']","['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
20,Z?rich,Landstreichmusik,2014-05-15,"['Christine Lauterburg ', ' Matthias Lincke ', ' Dide Marfurt ', ' Simon Dettwiler ']",['traditional']
21,Luzern,Mustasch,2014-05-15,['Mustasch '],"['Rock', 'Indie', 'Punk', 'Heavy', 'Metal', 'Gothic']"
