location,event,date,artists,genre
Luzern,Lucerne-Festival,2013-09-09,"[' Yeree Suh ', ' Attila Fekete ']",Classic
Veytaux,Septembre-musical,2013-09-09,"[' Terezie Fialóvá ', ' Roman Patocka ', ' Markéta Kubínová ']",Classic
Zürich,Happy-Monday,2013-09-09,[' Gee-K '],
Zürich,Old-School-Piano-Blues,2013-09-09,['Andy Boller '],
Solothurn,The-Dublin-Legends,2013-09-09,['The Dublin Legends '],
Zürich,Monomontag,2013-09-09,['Karo '],Pop
Zürich,Ronin-Rhythm-Clan,2013-09-09,"[' Nik Bärtsch ', ' Kasper Rast ', ' Thomy Jordi ', ' Sha ', ' Manu Troller ', ' Fabian Capaldi ', ' Martial In-Albon ', ' Michael Flury ']",
Bogen-F,Zürich,2013-09-09,['Built To Spill '],
Bern,William-Tyler,2013-09-09,['William Tyler '],
