location,event,date,artists,genre
Zürich,Mozart-von-Salzburg-nach-Paris-und-zurück,2016-02-25,"['Daniel Hope ', ' Sophie Heinrich ', ' Blythe Teh Engstroem ', ' Daniel Geiss ', ' Jacques Ammon ']",Classic
Bern,Sinfoniekonzert,2016-02-25,['Arkady Shilkloper '],Classic
Basel,Volkssinfoniekonzert,2016-02-25,[' Immanuel Richter '],Classic
Olten,Konzert,2016-02-25,[' Martin Stadtfeld '],Classic
Zürich,Internationales-Country-Music-Festival,2016-02-25,['Dailey & Vincent '],
Aarau,The-Vintage-Caravan,2016-02-25,"['The Vintage Caravan ', ' Dead Lord ', ' Tiebreaker ']",
Zürich,Abschied-und-Neuanfang,2016-02-25,[' Sol Gabetta '],Classic
Zürich,Lionheart,2016-02-25,"['Lionheart ', ' support: Desolated ', ' Kublai Khan ', ' Fallbrawl ']",
null,Daniel-Norgren,2016-02-25,['Daniel Norgren '],
Zürich,Ellingtonality,2016-02-25,"[' Christoph Grab ', "" Alessandro d'Episcopo "", ' Haemi Haemmerli ', ' Elmar Frey ']",
Baden,Sir-Oliver-Mally's-Nu-Yard,2016-02-25,"[' Sir Oliver Mally ', ' Martin Gasselsberger ', ' Alex Meik ', ' Willy Hackl ']",
Bern,Jazzwerkstatt,2016-02-25,[' Django Bates '],
Luzern,Mosaik,2016-02-25,"['Julianna Wetzel ', ' Peter Vögeli ', ' Nicola Katz ', ' Maurus Conte ', ' Martin Huber ', ' David Sontòn Caflisch ']",Classic
Winterthur,Marcel-Lüscher,2016-02-25,"[' Marcel Lüscher ', ' Kristinn Smári Kristinsson ', ' James Varghese ', ' Claudio Strüby ']",
null,Extrakonzert,2016-02-25,[' Katia und Marielle Labeque '],Classic
Bern,Cloud-Cluster-Collective,2016-02-25,"[' Julie Fahrer ', ' Rita Ekes ', ' Sarah Chaksad ', ' ss) Fabien Hörni ']",
Solothurn,Acoustic-Nights-Special,2016-02-25,['Howe Gelb '],
Zürich,Mistura-feat.-Peter-Madsen-&-David-Helbock,2016-02-25,"[' Peter Madsen ', ' David Helbock ', ' Dietmar Kirchner ', ' Andreas Wettstein ']",
Basel,Tony-Renold-Quartet,2016-02-25,"[' Michael Gassmann ', ' Michael Bucher ', ' Patrick Sommer ', ' Tony Renold ']",
Baden,Bonnie-&-The-Groove-Cats,2016-02-25,"[' Bonnie ', ' Didi Meier ', ' Etienne Irscartel ', ' Ueli Hofstetter ']",
Basel,Isaak,2016-02-25,['Isaak '],
Luzern,Aviator,2016-02-25,['Aviator '],
