,location,event,date,artists,genre
0,Zermatt,Zermatt-Unplugged,2014-04-10,['Malky '],Pop
1,Zermatt,Zermatt-Unplugged,2014-04-10,['Mark Kelly '],Pop
2,Zermatt,Zermatt-Unplugged,2014-04-10,"[""Ronnie Scott's All Stars ""]",
3,Zürich,Feierabendwerkschau,2014-04-10,"[' Christoph Gallio ', ' Andrea Neumann ', ' Ernst Thoma ', ' Dominique Girod ', ' Julian Sartorius ']",
4,Winterthur,Biohazard,2014-04-10,"['Biohazard ', ' In Arkadia ']",
5,Zürich,Black-Feather,2014-04-10,['Black Feather '],
6,Zürich,Thursday-Night-Jazz,2014-04-10,"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Fridolin Blumer ', ' Rolf Lyssy ']",
7,Basel,More-than-Minimal-II,2014-04-10,"[' Mike Svoboda ', ' Karen Robertson ']",Classic
8,Kongresshaus,Zürich,2014-04-10,['Howard Carpendale '],
9,Basel,Valium:-Musik-zur-Nacht,2014-04-10,"[' Julian Arp ', ' Johanna Arp & Irène Gayraud & Tal Nitza ']",Classic
10,Zürich,Justin-Nozuka,2014-04-10,['Justin Nozuka '],
11,Basel,Blues-Festival-Basel,2014-04-10,[' Ruthie Foster Trio '],
12,Lausanne,Belleruche,2014-04-10,['Belleruche '],Electronic
13,Solothurn,Kieran-Goss,2014-04-10,['Kieran Goss '],
14,Jona,Zéphyr-Combo,2014-04-10,"[' Ali Salvioni ', ' Esther Nydegger ', ' Geert Dedapper ', ' Simon Zürrer ']",
15,Zürich,Brazilified,2014-04-10,"[' Nelson Faria ', ' Reto Suhner ', ' Lukas Heuss ', ' Adrian Weber ', ' Wolfgang Häuptli ', ' Gregor Müller ', ' Dudu Penz ', ' Pius Baschnagel ']",
16,Zermatt,Zermatt-Unplugged,2014-04-10,['Jamie Cullum '],Pop
17,Dübendorf,Lina-Allemano-Four,2014-04-10,"[' Lina Allemano ', ' Brodie West ', ' Andrew Downing ', ' Nick Fraser ']",
18,Cully,Cully-Jazz,2014-04-10,['Salif Keita '],
19,Basel,Charly-Antolini-Special-Delivery,2014-04-10,"[' Florian Truebsbach ', ' Jan Eschke ', ' Andy Kurz ', ' Charly Antolini ']",
20,Lausanne,Dirty-Sound-Magnet,2014-04-10,['Dirty Sound Magnet '],
21,null,Drenge,2014-04-10,['Drenge '],
22,Zürich,We-Invented-Paris,2014-04-10,[' Highasakite '],Pop
23,Zermatt,Zermatt-Unplugged,2014-04-10,['Alex Hepburn '],Pop
