location,event,date,artists,genre
Zürich,Karin-Streule-Band,2014-04-24,"[' Karin Streule ', ' Niklaus Mäder ', ' Mirco Häberli ', ' Andriu Maissen ']",
Solothurn,Madball,2014-04-24,"['Madball ', ' Biohazard ', ' H2O ', ' Devil In Me ', ' Wisdom in Chains ']",
Bern,Symphoniekonzert,2014-04-24,[' Soyoung Yoon '],Classic
Zürich,Thursday-Night-Jazz,2014-04-24,"[' Rebecca Spiteri ', ' Jürg Ramspeck ', ' Joel Reiff ', ' Rolf Lyssy ']",
Zürich,100-Jahre-Hauptgebäude-der-Universität-Zürich,2014-04-24,[' Wolf Matthias Friedrich '],Classic
Zürich,Drama-Emperor,2014-04-24,['Drama Emperor '],Pop
Zürich,Sonar,2014-04-24,['Sonar '],Pop
Bern,Mellow-Mark,2014-04-24,['Mellow Mark '],
Zürich,Eric-Burdon-&-The-Animals,2014-04-24,['Eric Burdon & The Animals '],Pop
Zürich,JJ-Grey-&-Mofro,2014-04-24,['JJ Grey & Mofro '],Pop
Zürich,Elva-Bai-&-David-Ruosch-Band,2014-04-24,['Elva Bai & David Ruosch Band '],Pop
Kloten,Pop-Music-With-Groove-Passion-and-Soul,2014-04-24,"[' Luzian Graber ', ' Joel D. Allison ']",Pop
Basel,Dave-Specter's-Chicago-All-Stars-feat.-Lurrie-Bell,2014-04-24,"[""Dave Specter's Chicago All-Stars feat. Lurrie Bell ""]",
Winterthur,Kissangwa-Mbouta,2014-04-24,['Kissangwa Mbouta '],
Köniz,Lova-&-Band,2014-04-24,['Lova & Band '],Pop
Zürich,Blitz-the-Ambassador,2014-04-24,"['Blitz the Ambassador ', ' Samuel Bazawule ', ' Alexis Hountondji ', ' Florian Fourlin ', ' Josiah Woodson ', ' Nicolas Bongrand ']",
Basel,Laura-Stevenson,2014-04-24,['Laura Stevenson '],
Solothurn,The-Sweet-Remains,2014-04-24,['The Sweet Remains '],
Baden,JRP,2014-04-24,"[' Mirjam Harzenmoser ', ' Mathieu Friz ', ' Alex Merz ', ' Marius Meier ']",
Lausanne,Augustines,2014-04-24,['Augustines '],
Bern,Kevin-Seconds,2014-04-24,"['Kevin Seconds ', ' Louise Distras ']",
Luzern,Nige-Bray,2014-04-24,['Nige Bray '],
Bern,Kultur-for-Free,2014-04-24,['Junior '],
Wetzikon,Dÿse,2014-04-24,['Dÿse '],
Sankt-Gallen,Sleaford-Mods,2014-04-24,['Sleaford Mods '],
Schaffhausen,Lisa-&-The-Lips,2014-04-24,['Lisa & The Lips '],
