location,event,date,artists,genre
Luzern,Meisterkurs-Gesang-2.-Tag,2014-08-26,[' Barbara Hannigan '],Classic
Luzern,Orgelgewitter,2014-08-26,['Wolfgang Sieber '],Classic
Luzern,Debut-2,2014-08-26,"['Annelien Van Wauwe ', ' Lucas Blondeel ']",Classic
Luzern,Piano-Entertainment,2014-08-26,['Mark Tenger '],
Luzern,Sinfoniekonzert-9,2014-08-26,[' Isabelle Faust '],Classic
null,Menuhin-Festival-Gstaad,2014-08-26,"['Leon Fleisher ', ' Katherine Jacobson ']",Classic
Luzern,Orgelsommer,2014-08-26,['Eva und Marco Brandazza '],Classic
Nyon,Luna-Classics,2014-08-26,"['Yuja Wang ', ' Martin Grubinger ']",Classic
Münchenwiler,Murten-Classics-Sommernachtskonzert,2014-08-26,"[' Jitka Cechová ', ' Hana Kotková ', ' Jan Páleníek ']",Classic
