location,event,date,artists,genre
Winterthur,Esche,2016-10-01,"[' Laura Schuler ', ' Luzius Schuler ', ' Lisa Hoppe ']",
Buchberg,Schattenspiele,2016-10-01,[' Nicolas Corti '],Classic
Zürich,Der-schwarze-Ball,2016-10-01,"['Joachim Witt ', ' Klangstabil ']",Electronic
null,A-Synth,2016-10-01,"['Ventil ', ' Group A ', ' Blanck Mass ', ' Pye Corner Audio ']",Pop
null,Orgelherbst,2016-10-01,"['Maja Bösch ', ' Meinrad Leuch ']",Classic
Zürich,Carte-blanche,2016-10-01,"['Musica Vitae Kammerochester ', ' conductor: Malin Broman ']",Classic
Luzern,World-Band-Festival-Tattoo-On-Stage,2016-10-01,"['The Band of Her Majestys Royal Marines ', ' Orchester der Suworow Militärakademie Moskau ', ' Showband Juliana-Amersfoort ', ' Stockbridge Pipe Band Edinburgh ']",
Zürich,Deap-Vally,2016-10-01,['Deap Vally '],
Zürich,Flatbush-Zombies,2016-10-01,['Flatbush Zombies '],
Bern,Musica-aperta-Ensemble-Szenen,2016-10-01,"[' works by Charlotte Hug ', ' Jörg-Peter Mittmann ']",Classic
Zug,Carpet-Stain,2016-10-01,['Carpet Stain '],
Winterthur,Mozart-Requiem,2016-10-01,"[' Franziska Andrea Heinzen ', ' Gianna Lunardi ', ' Daniel Bentz ', ' Niklaus Kost ']",Classic
Olten,Thayer-Sarrano,2016-10-01,['Thayer Sarrano '],Pop
Zürich,Françoiz-Breut,2016-10-01,['Françoiz Breut '],Pop
Baden,Fat-Pencil,2016-10-01,"[' Pat Ruepp ', ' Sabrina ', ' Peter Fritschi ', ' Paul Amacher ', ' Bruno Fritschi ', ' Urs Fröhlicher ']",
Zürich,Zeitsein,2016-10-01,"[' Laura Robles ', ' Raffaele Bossard ', ' Leitung und Werke von Matthias Spillmann ']",Classic
Solothurn,Dubioza-Kolektiv,2016-10-01,['Dubioza Kolektiv '],
Solothurn,Liebes-Leben,2016-10-01,"[' Adina Friis ', ' Simon Iten ', ' Clemens Kuratle ']",Classic
Thun,Blackout-Problems,2016-10-01,['Blackout Problems '],
Zürich,Zéphir-Combo,2016-10-01,"['Geert Dedapper ', ' Esther Nydegger ', ' Rolf Caflisch ', ' Simon Kessler ', ' Lisa Hoppe ']",
null,Nachtzug-Balkan-Rhapsodie,2016-10-01,"['Emilian Dascal ', ' Sorin Spasinovici ', ' Mihai Cocea ', ' Emma Rotomeza ']",
null,Andy-Manndorff-Quartet,2016-10-01,"[' Andy Manndorff ', ' Moa Janes ', ' Beate Wiesinger ', ' Michael Prowaznik ']",
Düdingen,Lydia-Lunch-and-Weasel-Walter,2016-10-01,['Lydia Lunch and Weasel Walter '],
Oberentfelden,Joe-Buck,2016-10-01,['Joe Buck '],
Bülach,Simone-&-Simaria,2016-10-01,['Simone & Simaria '],
Basel,Das-Jazz-Kollektiv,2016-10-01,"[' Lukas Thöni ', ' Reto Suhner ', ' Rafael Schilt ', ' René Mosele ', ' Dave Gisler ', ' Philip Henzi ', ' Lukas Traxel ', ' Dominik Burkhalter ']",
Luzern,Curse,2016-10-01,['Curse '],
Zug,Möchtegang,2016-10-01,['Möchtegang '],
Wil,Save-the-Bamf,2016-10-01,['Lord Lhus '],
Lausanne,Rone,2016-10-01,['Rone '],Electronic
Baden,Fraktal,2016-10-01,"['Jan Herzog ', ' Andrea Nydegger ', ' Christof Mahnig ', ' Tobias Pfister ', ' Daniel Mcalavey ', ' Hannes Frankhauser ', ' Ricardo Castillo ']",
Lausanne,Kinder-Malo-&-Pimp-Flaco,2016-10-01,['Kinder Malo & Pimp Flaco '],
Baden,Äkschtra,2016-10-01,['Umami '],Electronic
