location,event,date,artists,genre
Bern,Orgelpunkt-zum-Wochenschluss,2013-08-30,['Jörg Ulrich Busch '],Classic
Rümlang,Zürich-Openair,2013-08-30,"['The Knife ', ' Trentemøller ', ' Tom Odell ', ' Sohn ']",
Basel,Feya-Faku-Quintet,2013-08-30,"[' Feya Faku ', ' Domenic Landolf ', ' Colin Vallon ', ' Fabian Gisler ', ' Dominic Egli ']",
Rümlang,Zürich-Openair,2013-08-30,"['Arctic Monkeys ', ' Franz Ferdinand ', ' Belle & Sebastian ', ' Valerie June ']",
Luzern,Piano-Entertainment,2013-08-30,['Fabienne Ambuhl '],
Festivalgelände,Rümlang,2013-08-30,"['DJs Pendulum ', ' Pretty Lights ', ' live: Moonbootica ', ' Sub Focus ']",
Basel,Orgelspiel-zum-Feierabend,2013-08-30,['Yun-Il Michael Park '],Classic
Basel,Météo-Mulhouse-Music-Festival,2013-08-30,"[' East-West Trio ', ' Fire ', ' Marteau Matraque ']",
Zürich,La-vie-en-rouge,2013-08-30,"[' M. Szczepkowski ', ' E. Rütsche ', ' A.-K. Graf ', ' Heinrich Mätzener ', ' S. Keller ', ' M. Flüge ', ' S. Vadimova ']",Classic
Gstaad,Cello-Seligkeit,2013-08-30,[' Sol Gabetta '],Classic
Zürich,Öffentliches-Konzert-in-der-Mühlehalde,2013-08-30,"[' Maria Seeger ', ' Delaja Mösinger ', ' Cristina Janett ']",Classic
Murten,Sinfoniekonzert-Temperamente-in-vier-Sätzen,2013-08-30,[' Anastasia Volchok '],Classic
Rheinfelden,Echoes-of-Swing,2013-08-30,"[' Colin T. Dawson ', ' Chris Hopkins ', ' Bernd Lhotzky ', ' Oliver Mewes ']",
Zug,Concerto-Rumoristico,2013-08-30,"['Nina Dimitri ', ' Silvana Gargiulo ']",Classic
null,Kaama,2013-08-30,"['Kaama ', ' Katja Mair ']",
Lenzburg,Spark-Der-Funke-springt,2013-08-30,"[' Stefan Glaus ', ' Andrea Ritter ', ' Koschitzki ', ' Victor Plumettaz ']",Classic
Embrach,La-máquina-del-tango,2013-08-30,"[' Ramiro Obedman ', ' Gabriel Szternsztejn ', ' Juan Esteban Cuacci ', ' Daniel Casielles ', ' Lauren Stradmann ']",
null,Schallmaschine-Maximus,2013-08-30,"[' Synergy Percussion ', ' Speak Percussion ', ' Bob Becker ']",Classic
Winterthur,Burst-&-Bloom,2013-08-30,"['This Routine Is Hell ', ' Go Deep ']",
Zürich,Summer-End-Party-The-Brazilian-Night-in-Zurich,2013-08-30,"[' live: Grupo É a Vera ', ' Janaina Mello ', ' Camila Arantes ']",
Zürich,Aldona,2013-08-30,['Aldona '],Pop
Winterthur,Sommer-Programm,2013-08-30,"[' Jogi Brunner ', ' Beat Bossart ', ' Urs Bossart ', ' Markus Bollinger ', ' Peter Schoch ', ' Sandro Stoll ']",Pop
Lausanne,D-comme-Detroit,2013-08-30,['DJs Jeff Mills '],
Schaffhausen,O-Emperor,2013-08-30,['O Emperor '],
