location,event,date,artists,genre
Zürich,Klezmodern,2016-01-19,"[' Witek Kornacki ', ' Nic Niedermann ', ' Toni Donadio ']",
Basel,Unter-dem-Polarlicht,2016-01-19,"['Sofia Ahjoniemi ', ' Joonas Pitkänen ']",Classic
Basel,AMG-World-Orchestras,2016-01-19,[' Hilary Hahn '],Classic
Zürich,Migros-Kulturprozent-Classics,2016-01-19,[' works by Zakir Hussain '],Classic
Zürich,Kammermusikabend,2016-01-19,"[' Patrick Genet ', ' François Gottraux ', ' Hans Egidi ', ' Marc Jaermann ']",Classic
Luzern,Bach-Meets-Kennedy,2016-01-19,"['Nigel Kennedy ', ' Doug Boyle ', ' Rolf Bussalb ', ' Tomasz Kupiec ', ' Adam Czerwinski ']",Classic
Basel,Kammermusik-um-halb-acht,2016-01-19,"[' Jakub Cepicky ', ' Marek Jerie ']",Classic
null,Zaz,2016-01-19,['Zaz '],Pop
Winterthur,Werktag-im-Kreis,2016-01-19,"[' Tobias Gerber ', ' Rafael Rütti ', ' Sebastian Hofmann ']",
Zürich,Frank-Turner-and-the-Sleeping-Souls,2016-01-19,['Frank Turner & The Sleeping Souls '],Pop
Basel,Magma-Mozart,2016-01-19,"[' Sarah Maria Sun ', ' Heinz Holliger ', ' Daria Zappa ', ' Muriel Cantoreggi ', ' Jürg Dähler ', ' Daniel Haefliger ', ' Felix Renggli ']",Classic
Basel,Scherrer-Carrothers,2016-01-19,"[' Andy Scherrer ', ' Bill Carrothers ']",
Zürich,The-Clients,2016-01-19,"['The Clients ', ' Dave Feusi ', ' Marco Figini ', ' Peter Wagner ', ' Thomy Jordi ', ' Christian Niederer ']",
Basel,Battlefield-Band,2016-01-19,['Battlefield Band '],
Zürich,Hinds,2016-01-19,"['Hinds ', ' Sun Club ']",
