location,event,date,artists,genre
Basel,Masterrezital,2014-05-13,[' Franziska Scherer '],Classic
Zürich,Jazzapero,2014-05-13,"[' Antonela Lucia ', ' Rodrigo Botter Maio ', ' Oliver Pellet ']",
Winterthur,Michael-Monroe,2014-05-13,['Michael Monroe '],
Zürich,Konzert-um-halb-acht,2014-05-13,['Benjamin Guélat '],Classic
Basel,Bachelorkonzert,2014-05-13,[' Giovanna Baviera '],Classic
Basel,AMG-Rising-Stars,2014-05-13,['Sasha Grynyuk '],Classic
Basel,Masterrezital,2014-05-13,[' Coleman Goepfert '],Classic
Zürich,Konzert,2014-05-13,[' Christina Landshamer '],Classic
Zürich,Farid-Bang,2014-05-13,['Farid Bang '],
Suhr,5.-Symphoniekonzert-Seidenstrasse,2014-05-13,[' Stella Doufexis '],Classic
Zürich,New-Kids-on-the-Block,2014-05-13,['New Kids on the Block '],Pop
Basel,Steve-Hackett,2014-05-13,['Steve Hackett '],Pop
Zürich,Zaz,2014-05-13,['Zaz '],Pop
Bern,Dan-Wilde-&-Tom-Copson,2014-05-13,['Dan Wilde & Tom Copson '],
Zürich,ZHdK-Masters-of-Jazz,2014-05-13,"[' Leon Baldesberger ', ' Silvan Schmid ', ' Colin Morton ']",
Zürich,Dean-Wareham,2014-05-13,['Dean Wareham '],Pop
Thun,Colin-Vallon-Trio,2014-05-13,"[' Colin Vallon ', ' Patrice Moret ', ' Julian Sartorius ']",
Zürich,Doppelkonzert,2014-05-13,"[' Liv Tavor ', ' Nicolas Dauwalder ', ' Andalus Liniger ', ' Moritz Wettstein ']",Electronic
Liestal,Vera-Kappeler-und-Peter-C.-Zumthor,2014-05-13,"[' Vera Kappeler ', ' Peter Conradin Zumthor ']",
Münchenstein,Ensemble-Economique,2014-05-13,"['Ensemble Economique ', ' Aun ', ' Stefano De Ponti ']",Pop
Zürich,Wallis-Bird,2014-05-13,['Wallis Bird '],
