,location,event,date,artists,genre
0,Jonschwil,Sonnentanz,2014-08-08,[' Aphrodite '],"['world', 'music']"
1,Schaffhausen,Stars-in-Town,2014-08-08,"[' Disko No. 1 ', ' Tom Odell ']","['Hip', 'Hop', ""R'n'B""]"
2,Zofingen,Heitere-Openair,2014-08-08,[' Die Antwoord '],['Pop']
3,Wetzikon,Schlauer-Bauer-Openair,2014-08-08,[' Budzillus '],['Pop']
4,null,Grabenhalle-geht-aus,2014-08-08,"['Delany Davidson ', ' Gordon Bleu ']","['Jazz', 'Blues', 'Soul']"
5,Luzern,Piano-Entertainment,2014-08-08,['Daniel Roos '],['Pop']
6,Basel,Orgelspiel-zum-Feierabend,2014-08-08,['J?rgen Benk? '],['Classic']
7,Zofingen,Heitere-Openair,2014-08-08,"['Triggerfinger ', ' Birdy ', ' Sean Paul ']",['Pop']
8,Ch?teau-d'Oex,Menuhin-Festival-Gstaad,2014-08-08,"['Daniele Caminiti ', ' Mauro Valli ', ' Naoki Kitaya ', ' conductor: Maurice Steger ']",['Classic']
9,Baden,Tonic-Strings,2014-08-08,"[' Toni Donadio ', '  Nic Niedermann ']","['Jazz', 'Blues', 'Soul']"
10,Basel,Dee-Dee-Bridgewater,2014-08-08,['Dee Dee Bridgewater '],"['Jazz', 'Blues', 'Soul']"
11,Z?rich,Earth,2014-08-08,['Earth '],['Pop']
12,St.-Moritz,Festival-da-Jazz,2014-08-08,"[' Dave Grusin ', ' Lee Ritenour ', ' Tom Kennedy ', ' Will Kennedy ', ' Daniel Schnyder ']","['Jazz', 'Blues', 'Soul']"
13,Winterthur,Mr.-Pure-Blues-&-Friends,2014-08-08,"[' Guscht Schmid ', ' Mike Huber ', ' Chris Schmid ']","['Jazz', 'Blues', 'Soul']"
14,Baden,Alice-Francis,2014-08-08,['Alice Francis '],"['Jazz', 'Blues', 'Soul']"
15,St.-Moritz,Festival-da-Jazz,2014-08-08,"[' Magda Giannikou ', ' Ignacio Hernandez ', '\r\nAndres Rotmistrovsky ', ' Marcelo Woloski ', ' \r\nJames Shipp ']","['Jazz', 'Blues', 'Soul']"
16,Schaffhausen,Stars-in-Town,2014-08-08,['Beginner Soundsystem '],"['Hip', 'Hop', ""R'n'B""]"
