location,event,date,artists,genre
Geroldswil,11.-Classic-Openair-Limmattaler-Kulturparty,2016-06-23,"[""Désirée Dell'Amore feat. Daniel Küffer "", ' Lénard Heugen ', ' Alina Isabel Morger ', ' Laura-Delia Knecht ', ' Michael Kleiser ']",Classic
Zürich,Festspiele-Zürich-Kontraste,2016-06-23,"[' Hélène Grimaud  ', ' Simon Fuchs ', ' Michael Reid ', ' Matthias Racz ', ' Ivo Gass ']",Classic
Bern,Party-im-Park,2016-06-23,['Nodpossibl '],Pop
Luzern,Georgie-Fisher,2016-06-23,['Georgie Fisher '],Pop
Bern,India-'n'-Chants,2016-06-23,"['Udal Mazumdar ', ' Bhaskar Das ', ' Rupesh Pathak ']",
Zürich,Strife,2016-06-23,"['Strife ', ' Additional Time ']",
Zürich,Samaris,2016-06-23,['Samaris '],Pop
Baden,Musik-im-Park,2016-06-23,"['Geert Dedapper ', ' Esther Nydegger ', ' Fridolin Brunner ', ' Ali Salvioni ']",
Zürich,Tokimonsta,2016-06-23,['Tokimonsta '],
Ascona,Jazz-Ascona,2016-06-23,[' The New Orleans Jazz Vipers '],
Baden,Miki-Lenner-Trio,2016-06-23,"[' Miklós Lenner ', ' Peter Keller ', ' Hansjörg Lehmann ']",
Basel,L'Orkès-Péï-d'Oko,2016-06-23,"[""L'Orkès Péï d'Oko "", ' Olivier Ker Ourio ', ' Denis Leloup ', ' Stéphane Chausse ', ' Eric Séva ', ' Frédéric Couderc ', ' Jerry Léonide ', ' Linley Marthe ', ' Arnaud Dolmen ', ' Inor Sotolongo ']",
Basel,Tommy-Cash,2016-06-23,['Tommy Cash '],
Zürich,Ryan-Bingham,2016-06-23,['Ryan Bingham '],Pop
