location,event,date,artists,genre
Kriens,Master-Abschlusskonzerte,2016-06-09,"['Anita Grob ', ' Elia Bolliger ']",Classic
null,Festi'neuch,2016-06-09,['Aaron '],
null,Festi'neuch,2016-06-09,"['The Cranberries ', ' Skunk Anansie ']",
Pully,Festival-Pully-Lavaux-à-l'heure-du-Québec,2016-06-09,['Motel 72 '],
Basel,Duo-Abend,2016-06-09,"['Adam Mital ', ' Irina Vardeli ']",Classic
Pully,Festival-Pully-Lavaux-à-l'heure-du-Québec,2016-06-09,"['Mario Brassard ', ' Lynda Lemay ']",Pop
Bern,Beethovens-Vierte,2016-06-09,[' Roger Muraro '],Classic
Luzern,Aus-der-Neuen-Welt,2016-06-09,[' Khatia Buniatishvili '],Classic
Pully,Festival-Pully-Lavaux-à-l'heure-du-Québec,2016-06-09,['Caroline Jomphe '],Pop
Pratteln,Alice-Cooper,2016-06-09,['Alice Cooper '],
Zürich,Teho-Teardo-&-Blixa-Bargeld,2016-06-09,['Teho Teardo & Blixa Bargeld '],Pop
Winterthur,Gabriela-Krapf-&-Horns,2016-06-09,"[' Silvan Kiser ', ' Phil Powell ', ' Raffaele Lunardi ', ' Gabriela Krapf ']",
null,Master-Abschlusskonzerte,2016-06-09,"['Maria Gehrig ', ' Fränggi Gehrig ']",Classic
Zürich,New-York-Jazz-Abend,2016-06-09,"['Matthias Reinhard-DeRoo ', ' Gion Jegher ', ' Nad Lisin ', ' Michael Vitali ']",
Zürich,Lady-Sings-the-Blues,2016-06-09,"['Lady Sings the Blues ', ' Christina Jaccard ', ' Dave Ruosch ', ' Luca Leombruni ', ' Steve Grant ']",
Winterthur,RPlaz,2016-06-09,"[' Kira Stahel ', ' Seline Jetzer ', ' Allesandro Fiore ', ' Stefan Guggisberg ', ' Alex Merz ']",
Zürich,3somesisters,2016-06-09,"[' Sophie Fustec ', ' Bastien Picot ', ' Florent Mateo ', ' Anthony Winzenrieth ']",Pop
Baden,The-Two-of-Us,2016-06-09,"[' Martina Koch ', ' Jann Stefan Krähenbühl ']",
Lausanne,KRS-One,2016-06-09,['KRS-One '],
Basel,Dinosaur-Jr.,2016-06-09,['Dinosaur Jr. '],
Baden,Hausquartett,2016-06-09,"[' Christoph Grab ', ' Christoph Baumann ', ' Hämi Hämmerli ', ' Tony Renold ']",
Basel,Trio-Di-Gasn-spielt-Klezmer-und-Balkan-Musik,2016-06-09,"['Gal Klein ', ' Yanush Hurwitz ', ' Daniel More ']",
