location,event,date,artists,genre
Basel,Mittagskonzert,2013-11-26,"[' Julia Marion ', ' Joan Boronat Sanz ', ' Euncho Yeom ']",Classic
Zürich,Jazzapero,2013-11-26,"[' Anne Florence Schneider ', ' Floriano Inácio ', ' Dudu Penz ', ' Mauro Martins ']",
Luzern,Piano-Entertainment,2013-11-26,['Mark Tenger '],
Zürich,Feierabendwerkschau,2013-11-26,"[' Christoph Gallio ', ' Andrea Neumann ', ' Ernst Thoma ', ' Dominique Girod ', ' Julian Sartorius ']",
Aarau,Agnostic-Front,2013-11-26,['Agnostic Front '],
Zürich,Klavierabend,2013-11-26,['Lukas Vondracek '],Classic
Riehen,(Alb)traum-eines-Kontrabassisten,2013-11-26,"[' Christian Sutter ', ' Ingolf Turban ', ' Lech Antonio Uszynski ', ' Sebastian Uszynski ']",Classic
Basel,Streichquartette,2013-11-26,['Cuarteto Casals '],Classic
Zürich,Migros-Kulturprozent-Classics,2013-11-26,"[' Rachel Harnisch ', ' Jennifer Johnston ', ' Matthew Rose ', ' William Kendall ', ' Chiara Skerath ']",Classic
Zürich,Unerhört-Ein-Zürcher-Jazzfestival,2013-11-26,"[' Hans Hassler ', ' Gebhard Ullman ', ' Jürgen Kupke ']",
Bern,Sin-Palabras,2013-11-26,"[' Peter Madsen ', ' Dietmar Kirchner ', ' Georgios Mikirozis ']",
Effretikon,Bolschoi-Don-Kosakenchor,2013-11-26,['Bolschoi Don Kosakenchor '],
Zürich,Gogol-Bordello,2013-11-26,"['Gogol Bordello ', ' Man Man ']",
Luzern,Sallie-Ford-&-The-Sound-Outside,2013-11-26,['Sallie Ford & The Sound Outside '],
Stäfa,Jam-Session,2013-11-26,"[' Mario Caspar ', ' Billy Wirz ', ' Per Rosen ', ' Dana Wirz ']",Pop
Zürich,Maria-Farantouri-abgesagt,2013-11-26,['Maria Farantouri '],
Zürich,Bebop-&-More,2013-11-26,"['Jean-Paul Brodbeck ', ' Dominique Girod ', ' Sheldon Suter ']",
Zürich,Fragula,2013-11-26,"[' Muriel Schweizer ', ' Regula Bernays ', ' Michel Münch ', ' Franz Winteler ', ' Hansjürg Fetzer ']",
Basel,Hellmüller-Risso-Zanoli,2013-11-26,"[' Franz Hellmüller ', ' Stefano Risso ', ' Marco Zanoli ']",
Zürich,Samsara-Blues-Experiment,2013-11-26,['Samsara Blues Experiment '],
Chiasso,Jan-Garbarek-Group,2013-11-26,['Jan Garbarek Group '],
Aarburg,Walter-Washington-&-The-Roadmasters,2013-11-26,['Walter Washington & The Roadmasters '],
Zürich,Braids,2013-11-26,['Braids '],
