location,event,date,artists,genre
Zürich,Jazzapero,2016-05-24,"[' Franz Hellmüller ', ' Herbert Kramis ', ' Tony Renold ']",
Luzern,Master-Abschlusskonzerte,2016-05-24,"[' Alexander Merz ', ' Mathias Meyer ', ' Dennis Blassnig ']",
Zürich,Konzert-um-halb-acht-Stabat-mater,2016-05-24,[' Gregor Ehrsam '],Classic
Baden,Three-Hours-Past-Midnight,2016-05-24,"[' uliana Tarris ', ' Laurent Gilliéron ', ' Antoine Gilliéron ', ' Baptiste Paracchini ']",
Zürich,Sara-Hartman,2016-05-24,['Sara Hartman '],Pop
Zürich,Lenz-muss-doch-wieder-kommen-Kantate-Contrafacta,2016-05-24,"[' Vera Ehrensperger ', ' Robert Braunschweig ']",Classic
Luzern,Forum-Neue-Musik-Luzern,2016-05-24,"['Patrick Stadler ', ' Yaron Deutsch ', ' Brian Archinal ', ' Alfred Reiter ']",Pop
Zürich,100-100-365,2016-05-24,['Jan Augsberg '],Classic
Zürich,Carte-blanche,2016-05-24,"[' Pacho Flores ', ' Hilda Paredes ']",Classic
Basel,Die-Prinzen,2016-05-24,['Die Prinzen '],Pop
Zürich,5-Seconds-of-Summer,2016-05-24,['5 Seconds of Summer '],Pop
Zürich,The-Coronas,2016-05-24,['The Coronas '],
Thun,Colin-Vallon-Trio,2016-05-24,"[' Colin Vallon ', ' Patrice Moret ', ' Julian Sartorius ']",
Zürich,Pierre-Favre-mit-Drum-Sights,2016-05-24,"[' Chris Jaeger ', ' Markus Lauterburg ', ' Valeria Zangger ', ' Pierre Favre ']",
Basel,Ahimsa,2016-05-24,"[' Neyveli S. Radhakrishna ', ' Matthias Müller ', ' Udai Mazumdar ']",
Zürich,3-Cohens-feat.-Anat-Yuval-&-Avishai-Cohen,2016-05-24,"[' Avishai Cohen ', ' Anat Cohen ', ' Yuval Cohen ', ' Yonathan Avishai ']",
null,Nach,2016-05-24,['Nach '],Pop
