location,event,date,artists,genre
Zürich,Werner-und-Company,2016-12-13,['Werner und Company '],Pop
Zürich,Jazzapero,2016-12-13,"[' Dave Ruosch ', ' Simon Wyrsch ', ' Kalli Gerhards ', ' Martin Meyer ']",
Pratteln,MTV-Headbanger's-Ball,2016-12-13,"['Iced Earth ', ' Ensiferum ', ' Unearth ']",
Basel,Kammermusik-Basel-Quatuor-Ardeo,2016-12-13,['Thomas Demenga '],Classic
Winterthur,Luciafest-Traditionelle-und-neue-Musik-zur-Weihnachtszeit,2016-12-13,"['Malin Hartelius ', ' Torbjörn Näsbom ', ' Pär Näsbom ', ' Sébastian Dubé ', ' Perry Stenbäck ']",Classic
Aarau,Metalmayhem,2016-12-13,"['Within the Ruins ', ' Fit for an Autopsy ', ' The Last Ten Seconds Of Life ', ' Phinehas ']",
Zürich,Die-Grammatik-der-Musik,2016-12-13,"[' Frank Peter Zimmermann ', ' Antoine Tamestit ', ' Christian Poltéra ']",Classic
Bern,Nigel-Kennedy,2016-12-13,['Nigel Kennedy '],Classic
Zürich,Adventskonzert,2016-12-13,[' Emanuel Rütsche '],Classic
Luzern,Andreas-Tschopp-Bubaran,2016-12-13,"[' Andreas Tschopp ', ' Mats Spillmann ', ' Bernhard Bamert ', ' Ronny Graupe ', ' Lionel Friedli ']",
Winterthur,Imagination-Against-Numbers,2016-12-13,"[' Ivana Pristasova ', ' Petra Ackermann ', ' Karolina Öhman ', ' Tamriko Kordzaia ']",Classic
Basel,Monodram,2016-12-13,"[' Robert Koller ', ' Lucas Rössner ']",Classic
Bern,Black-Oak,2016-12-13,['Black Oak '],Pop
Zürich,Crippled-Black-Phoenix,2016-12-13,['Crippled Black Phoenix '],
Thun,Cocoon,2016-12-13,"[' Collin Vallon ', ' Patrice Moret ', ' Julian Sartorius ']",
Zürich,The-Return-of-the-Shrooms,2016-12-13,"['Die Pilze ', ' Benedikt Reising ', ' Yannick Barman ', ' Xavier Nussbaum ', ' Benjamin Kölling ', ' Marco Müller ', ' Rico Baumann ']",
Basel,Mimon,2016-12-13,"[' Raphael Rossé ', ' Lukas Traxel ', ' Frederik Heisler ']",
Zürich,Always-Know-Monk,2016-12-13,"[' Yves Marcotte ', ' Shems Bendali ', ' Zacharie Canut ', ' ']",
Basel,Dksj-Exchange-Nights,2016-12-13,"['Noah Arnold ', ' Elio Amberg ', ' Christian Zemp ', ' Amadeus Fries ', ' Ursula Bachmann ']",
Basel,Clueso,2016-12-13,['Clueso '],Pop
Luzern,Cassandra-Wilson-&-Steve-Coleman-Songbook,2016-12-13,"[' Lea Nussbaumer ', ' Adeline Hasler ', ' Timo Kellenberger ', ' Emilio Vidal-Pons ', ' Christoph Ruckli ', ' Félix Fivaz ']",
Zürich,Shane-Quartet,2016-12-13,"[' Michael Gilsenan ', ' Gabriel Wenger ', ' Jérémie Krüttli ', ' Philipp Leibundgut ']",
