location,event,date,artists,genre,coordinates
Geneve,TAMBOUR BATTANT FESTIVAL,2012-12-01,[MOKOBE],,"(46.2043907, 6.1431577)"
OF, HYPE WILLIAMS]",,"(46.5196535, 6.6322734)"
