location,event,date,artist
Thun,AM SCHLUSS,2013-07-24,SAMIR ESSAHBI
Lucerne,BLUE BALLS,2013-07-24,TRIXIE WHITLEY
Lucerne,BLUE BALLS,2013-07-24,JOHN LEGEND
Lucerne,BLUE BALLS,2013-07-24,VOODOO SWING
Geneve,FETES DE GENEVE,2013-07-24,100 % STONES
Geneve,MUSIQUES EN ETE,2013-07-24,LEONEL LIMONTA Y SU AZUCAR NEGRA
Nyon,PALEO FESTIVAL,2013-07-24,ARCTIC MONKEYS
Verbier,VERBIER FESTIVAL,2013-07-24,MILOS KARADAGLIC
Verbier,VERBIER FESTIVAL,2013-07-24,DAVID AARON CARPENTER
Verbier,VERBIER FESTIVAL,2013-07-24,PINCHAS ZUKERMAN
Verbier,VERBIER FESTIVAL,2013-07-24,SIMON KEENLYSIDE
