location,event,date,artist
Zurich,LIVE AT SUNSET,2013-07-16,EARTH WIND & FIRE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,BEE FIVE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,SILVAN ZINGG
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,STING
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,JOSE JAMES
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,MARK LANEGAN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,SILVER DUST
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,NO ID
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-16,MIMETIC
Geneve,MUSIQUES EN ETE,2013-07-16,GERHARD OPPITZ
