location,event,date,artist
Le Noirmont,CHANT DU GROS,2012-09-07,MACADAM DIVE
Lausanne,ELECTROSANNE,2012-09-07,TODD TERJE
Lausanne,ELECTROSANNE,2012-09-07,CLAUDE VONSTROKE
Lausanne,ELECTROSANNE,2012-09-07,MAD PROFESSOR
Lausanne,ELECTROSANNE,2012-09-07,DIXON
Lausanne,ELECTROSANNE,2012-09-07,CAMO & KROOKED
Lausanne,ELECTROSANNE,2012-09-07,MOOMIN
Geneve,FESTIVAL DE LA BATIE,2012-09-07,CHASSOL
Vevey,SEPTEMBRE MUSICAL,2012-09-07,LEONIDAS KAVAKOS
Veyras en Valais,TOHU BOHU A VEYRAS,2012-09-07,IAM
Villars,VILLARS DE VIVRE,2012-09-07,"PIAZZOLLA, 4 SAISONS DE TANGO (ART EN CIEL)"
Villars,VILLARS DE VIVRE,2012-09-07,FREDERIC RECROSIO
Villars,VILLARS DE VIVRE,2012-09-07,MONTREUX (Tribute to Freddie Mercury)
