location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,SINE NOMINE
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,PIERRE OMER
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,SEA + AIR
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-09,BRISTOPHE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,PAUL KALKBRENNER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,GLENELG JAZZ ENSEMBLE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,WOODKID
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,WOODKID
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,CHARLES BRADLEY
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,ROUND TABLE KNIGHTS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,THE BOTS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-09,FRED LILLA
Locarno,MOON AND STARS,2013-07-09,DEPECHE MODE
Geneve,MUSIQUES EN ETE,2013-07-09,OPERA DE CHAMBRE DE GENEVE
