location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-14,NEWMAN WAITS HERE
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-14,BOBBY CONN
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-14,MARIE PIERRE ARTHUR
Zurich,LIVE AT SUNSET,2013-07-14,HUGH LAURIE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,KARINA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,TIME MACHINE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,DJ KOFFI
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,PRINCE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,YOUN SUN NAH
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,DEVENDRA BANHART
Veytaux,MONTREUX JAZZ FESTIVAL,2013-07-14,ADAM MAKOWICZ
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,KASSETTE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,JESSE ROSE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-14,SCHNAUTZI
Locarno,MOON AND STARS,2013-07-14,NEIL YOUNG & PROMISE OF THE REAL
Frauenfeld,OPENAIR FRAUENFELD,2013-07-14,SNOOP DOGG
