location,event,date,artist
Thun,AM SCHLUSS,2012-07-25,BOO BOO DAVIS BAND
Lucerne,BLUE BALLS,2012-07-25,REA GARVEY
Lucerne,BLUE BALLS,2012-07-25,KAISER CHIEFS
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-25,PIERS FACCINI
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-25,FRANK MC COMB
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-25,MALCOLM BRAFF
Geneve,FETES DE GENEVE,2012-07-25,SHANA P
Geneve,MUSIQUES EN ETE,2012-07-25,GRAND PIANORAMAX
Verbier,VERBIER FESTIVAL,2012-07-25,KATE ROYAL
Verbier,VERBIER FESTIVAL,2012-07-25,DANIEL HOPE
Verbier,VERBIER FESTIVAL,2012-07-25,ANOUSHKA SHANKAR
