location,event,date,artist
Geneve,FETES DE GENEVE,2012-08-03,LUSSI IN THE SKY
Geneve,FETES DE GENEVE,2012-08-03,LIO
Sion,GUINNESS IRISH FESTIVAL,2012-08-03,MANAU
Geneve,MUSIQUES EN ETE,2012-08-03,SONALP
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-03,RITA MACEDO
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-03,DELANEY DAVIDSON
Martigny,PALP FESTIVAL (PLACE A LA PLACE),2012-08-03,SON OF DAVE
Yvoire,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2012-08-03,JULIEN SZULMAN
Porrentruy,ROCK AIR PORRENTRUY,2012-08-03,HEADCHARGER
Avenches,ROCK OZ ARENES,2012-08-03,ALICE COOPER
Verbier,VERBIER FESTIVAL,2012-08-03,DAVID KADOUCH
Verbier,VERBIER FESTIVAL,2012-08-03,YUJA WANG
Verbier,VERBIER FESTIVAL,2012-08-03,LEONIDAS KAVAKOS
