location,event,date,artist
Geneve,FETES DE GENEVE,2013-07-18,MICHEL JONASZ
Zurich,LIVE AT SUNSET,2013-07-18,HELGE SCHNEIDER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,THE CANETTES BLUES BAND
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,DIETER MEIER
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,DIANA KRALL
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,DAVID SANBORN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,OM UNIT
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,THE FAMILY RAIN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-18,FEHRPLAY
Geneve,MUSIQUES EN ETE,2013-07-18,QUATUOR TERPSYCORDES
