location,event,date,artist
Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2015-02-28,PAUL THOMSON (FRANZ FERDINAND)
Martigny,ECHOOOES FESTIVAL,2015-02-28,DJ OTHELLO
Nyon,LES HIVERNALES A NYON,2015-02-28,PARTY KILLERS
Nyon,LES HIVERNALES A NYON,2015-02-28,PEACE
Nyon,LES HIVERNALES A NYON,2015-02-28,ROBBING MILLIONS
Nyon,LES HIVERNALES A NYON,2015-02-28,DOPE DOD
Nyon,LES HIVERNALES A NYON,2015-02-28,CHEYENNE
Nyon,LES HIVERNALES A NYON,2015-02-28,NIKIMIX
Nyon,LES HIVERNALES A NYON,2015-02-28,DJ REAS
Nyon,LES HIVERNALES A NYON,2015-02-28,DJEREM
Nyon,LES HIVERNALES A NYON,2015-02-28,THE TWO
