location,event,date,artist
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-13,BOJAN Z
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-13,PONY DEL SOL
Lausanne,FESTIVAL DE LA CITE A LAUSANNE,2013-07-13,BIRTH OF JOY
Zurich,LIVE AT SUNSET,2013-07-13,KENNY ROGERS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,ADAM MAKOWICZ
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,NOLOSE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,JANAINA MELLO
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,MAMBO CHICK
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,HEMU JAZZ ORCHESTRA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,PRINCE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,PEE WEE ELLIS
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,HOLLIE COOK
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,THE DEADLINE EXPERIENCE
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,PINO ARDUINI
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-13,DJ KOFFI
Frauenfeld,OPENAIR FRAUENFELD,2013-07-13,CHAKUZA
Aarberg,STARS OF SOUNDS,2013-07-13,77 BOMBAY STREET
