location,event,date,artist
Geneve,FETES DE GENEVE,2014-07-17,AIR BOX
Fribourg,LES GEORGES,2014-07-17,RUSCONI
Zurich,LIVE AT SUNSET,2014-07-17,BACKSTREET BOYS
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,ANNAKIN
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,MICHAEL KIWANUKA
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,BENJAMIN CLEMENTINE
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,VON PARIAHS
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,KRUGER
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,MIRKO LOKO
Montreux,MONTREUX JAZZ FESTIVAL,2014-07-17,N'TO
