location,event,date,artist
Lucerne,BLUE BALLS,2012-07-28,ANOHNI (Ex ANTONY AND THE JOHNSONS)
Lucerne,BLUE BALLS,2012-07-28,GENTLEMAN (AND THE EVOLUTION)
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,MALCOLM BRAFF
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,TIGRAN HAMASYAN
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,SOFIE SORMAN
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2012-07-28,MALCOLM BRAFF
Geneve,FETES DE GENEVE,2012-07-28,TWEETERS
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2012-07-28,TEXAS
Etziken,OPENAIR ETZIKEN,2012-07-28,BASTIAN BAKER
Verbier,VERBIER FESTIVAL,2012-07-28,DANIIL TRIFONOV
Verbier,VERBIER FESTIVAL,2012-07-28,MARTHA ARGERICH
Verbier,VERBIER FESTIVAL,2012-07-28,LEONIDAS KAVAKOS
