location,event,date,artist
Thun,AM SCHLUSS,2013-08-04,DIKANDA
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2013-08-04,MOHAMED ABOZEKRY
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2013-08-04,ANDRE MANOUKIAN
Geneve,FETES DE GENEVE,2013-08-04,THE OZ
Geneve,FETES DE GENEVE,2013-08-04,NELIO REAL
Pregny,PREGNY ALP FESTIVAL,2013-08-04,OESCH S DIE DRITTEN
Sursee,SUMMER SOUND SUISSE,2013-08-04,KAYA YANAR
Verbier,VERBIER FESTIVAL,2013-08-04,VERBIER FESTIVAL ORCHESTRA / VFO
Verbier,VERBIER FESTIVAL,2013-08-04,VERBIER FESTIVAL ORCHESTRA / VFO
Verbier,VERBIER FESTIVAL,2013-08-04,KENT NAGANO
Verbier,VERBIER FESTIVAL,2013-08-04,NATALIE  DESSAY
