location,event,date,artist
Thun,AM SCHLUSS,2013-08-03,17 HIPPIES
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2013-08-03,BOJAN Z
Geneve,FETES DE GENEVE,2013-08-03,LYS
Geneve,FETES DE GENEVE,2013-08-03,TERESA TAPADAS
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2013-08-03,77 BOMBAY STREET
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-08-03,JULIEN SZULMAN
Sursee,SUMMER SOUND SUISSE,2013-08-03,PATENT OCHSNER
Verbier,VERBIER FESTIVAL,2013-08-03,VERBIER FESTIVAL ORCHESTRA / VFO
Verbier,VERBIER FESTIVAL,2013-08-03,VILDE FRANG
Verbier,VERBIER FESTIVAL,2013-08-03,VERBIER FESTIVAL ORCHESTRA / VFO
Verbier,VERBIER FESTIVAL,2013-08-03,QUATUOR EBENE
