location,event,date,artist
Avully,GENA FESTIVAL,2013-07-05,RED DOG BLUES BAND
Lugano,LUGANO ESTIVAL JAZZ,2013-07-05,ORCHESTRE DE LA SUISSE ITALIENNE / ORCHESTRA DELLA SVIZZERA ITALIANA
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,DADDY FRED BERNARD
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,REDWOOD
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,LEONARD COHEN
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,MICHAEL WOLLNY
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,BLACK REBEL MOTORCYCLE CLUB
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,ARTONWALL
Montreux,MONTREUX JAZZ FESTIVAL,2013-07-05,LEE VAN DOWSKI
Locarno,MOON AND STARS,2013-07-05,AMY MACDONALD
Geneve,MUSIQUES EN ETE,2013-07-05,MAZALDA
Zurich,TOUCH THE LAKE,2013-07-05,ONYX
