location,event,date,artist
Chenes Bougeries,BIMBADABOUM FESTIVAL,2012-08-18,MONSIEUR LUNE (L'INCROYABLE HISTOIRE DE GASTON ET LUCIE)
Plan les Ouates,FESTIVAL PLEIN LES WATTS,2012-08-18,ROD TAYLOR
Hermance,JAZZ SUR LA PLAGE,2012-08-18,V.S.O.P.
Hermance,JAZZ SUR LA PLAGE,2012-08-18,SWING DE FOU
Hermance,JAZZ SUR LA PLAGE,2012-08-18,OCHUMARE
Hermance,JAZZ SUR LA PLAGE,2012-08-18,VINCENT RUIZ
Hermance,JAZZ SUR LA PLAGE,2012-08-18,LES DESACCORDES
Hermance,JAZZ SUR LA PLAGE,2012-08-18,BECHET MEMORIES
Hermance,JAZZ SUR LA PLAGE,2012-08-18,LEBOCAL
Hermance,JAZZ SUR LA PLAGE,2012-08-18,MATTHIEU LLODRA
Hermance,JAZZ SUR LA PLAGE,2012-08-18,L'IRONIE DU SON
Hermance,JAZZ SUR LA PLAGE,2012-08-18,SAMARABALOUF
Hermance,JAZZ SUR LA PLAGE,2012-08-18,MELISMETIQ
Vevey,NOX ORAE,2012-08-18,GRAVENHURST
Gampel,OPEN AIR DE GAMPEL,2012-08-18,FAMARA
Le Locle,ROCK ALTITUDE,2012-08-18,MOGWAI
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,SAXITUDE
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,QUATUORGANIC
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,MARCO MARCHI & THE MOJO WORKERS
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,NICOLE HERZOG
Estavayer le Lac,SWING IN THE WIND - SWINGIN,2012-08-18,JEAN PHILIPPE SCALI
