location,event,date,artist
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,MALCOLM BRAFF
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,PORTICO
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,SPOK FREVO
Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2010-07-29,MALCOLM BRAFF
Estavayer le Lac,L'ESTIVALE OPEN AIR D'ESTAVAYER,2010-07-29,MICKY GREEN
Geneve,MUSIQUES EN ETE,2010-07-29,QUATUOR YSAYE
Verbier,VERBIER FESTIVAL,2010-07-29,SARAH CHANG
Verbier,VERBIER FESTIVAL,2010-07-29,VERBIER FESTIVAL ORCHESTRA / VFO
Verbier,VERBIER FESTIVAL,2010-07-29,LEONIDAS KAVAKOS
Verbier,VERBIER FESTIVAL,2010-07-29,ELISABETH LEONSKAJA
