location,event,date,artist
Lucerne,BLUE BALLS,2013-07-27,KING PEPE
Lucerne,BLUE BALLS,2013-07-27,DAMIEN RICE
Lucerne,BLUE BALLS,2013-07-27,J VIEWZ
Geneve,FETES DE GENEVE,2013-07-27,INCRY
Gunzgen,MOTION OPENAIR,2013-07-27,TIESTO
Lumnezia,OPEN AIR LUMNEZIA,2013-07-27,WOODKID
Etziken,OPENAIR ETZIKEN,2013-07-27,PATENT OCHSNER
Nyon,PALEO FESTIVAL,2013-07-27,BLUR
Puplinge,PUPLINGE CLASSIQUE - YVOIRE CLASSIQUE,2013-07-27,VINCENT LUCAS
Verbier,VERBIER FESTIVAL,2013-07-27,YURI BASHMET
Verbier,VERBIER FESTIVAL,2013-07-27,VERBIER FESTIVAL ORCHESTRA / VFO
Verbier,VERBIER FESTIVAL,2013-07-27,PINCHAS ZUKERMAN
Verbier,VERBIER FESTIVAL,2013-07-27,ILYA GRINGOLTS
