,location,event,date,artists,genre
0,Winterthur,Bon-voyage,2015-01-31,"[' Cornelia Leuthold ', ' David Talamante ', ' Ronald Pearl ']",Classic
1,Baden,One-of-a-Million,2015-01-31,['Tom Hickox '],
2,Baden,One-of-a-Million,2015-01-31,['Jeff Beadle '],
3,Zürich,4.-Sonntag-im-Jahreskreis,2015-01-31,"['Emanuel Rütsche ', ' Felix Gubser ']",Classic
4,Zürich,Glantaler-Power-Men,2015-01-31,['Glantaler Power Men '],traditional
5,null,Klavierissimo,2015-01-31,['Cathy Krier '],Classic
6,null,Nelsonmesse-Dixit-Dominus-und-7-biblische-Gesänge,2015-01-31,"[' Dorothea Frey ', ' Liliane Glanzmann ', ' Valentin Johannes Gloor ', ' Marcus Niedermeyr ']",Classic
7,Baden,One-of-a-Million,2015-01-31,"['Teen Daze ', ' Warm Graves ']",
8,Lyss,We-Butter-the-Bread-with-Butter,2015-01-31,['We Butter the Bread with Butter '],
9,Zürich,Interpol,2015-01-31,"['Interpol ', ' support: Health ']",
10,Zürich,Olson,2015-01-31,"['Olson ', ' support: Sofi de la Torre & Okan Frei ']",
11,Zürich,Konzert,2015-01-31,[' Leila Josefowicz '],Classic
12,Zürich,Franziskus-Geschichte-Legenden-und-Musik,2015-01-31,"['Anne-Laure Prély Dengler ', ' Beat Schuler ']",Classic
13,Zürich,Serenade,2015-01-31,"[' Tino Brütsch ', ' Olivier Darbellay ']",Classic
14,Zürich,Internationales-Country-Music-Festival,2015-01-31,['Two Tons of Steel '],
15,Zürich,Polnischer-Klavierabend,2015-01-31,['Aleksandra Mikulska '],Classic
16,Zürich,Gavlyn-&-Oh-Blimey,2015-01-31,['Gavlyn & Oh Blimey '],
17,null,Klavierissimo,2015-01-31,['Jörg Demus '],Classic
18,null,IAM,2015-01-31,['IAM '],
19,Zürich,Ein-gLiederabend,2015-01-31,"['Graziella Rossi ', ' Rea Claudia Kost ', ' Daniel Bentz ', ' Helmut Vogel ', ' Daniel Fueter ']",traditional
20,Aarburg,Rockabilly-Night,2015-01-31,"[""Charlie Hightone & the Rock It's "", ' Jake Calypso and his Red Hot ']",
21,Winterthur,Friska-Viljor,2015-01-31,['Friska Viljor '],
22,Basel,Cantique,2015-01-31,[' Estelle Revaz '],Classic
23,Zürich,Dan-Michaelson-&-The-Coastguards,2015-01-31,['Dan Michaelson & The Coastguards '],
24,Burgdorf,Larrys'-Blues-Band,2015-01-31,"[' Larry Schmuki ', ' Markus Fritzsche ', ' Beat Aschwanden ']",
25,Zürich,Talking-Drums-feat.-Gabriela-Mendes,2015-01-31,"[' Gabriela Mendes ', ' Simone Sou ', ' Dave Feusi ', ' Sandro Schneebeli ', ' Stephan Rigert ']",
26,Baden,Donadio-Family-Band,2015-01-31,"[' Dalia Donadio ', ' Madlen Donadio ', ' Moreno Donadio ', ' Toni Donadio ']",
27,Aarau,Sólstafir,2015-01-31,['Sólstafir '],
28,null,Unhold,2015-01-31,[' Notions '],
29,Pratteln,Bluez-Ballz,2015-01-31,"['Bluez Ballz ', ' Jan Bukacek ', ' Thomas L.C. Elsasser ', ' Roger T. ']",
30,Zürich,Cold-Specks,2015-01-31,['Cold Specks '],
31,Zürich,Aliev-Bleh-Orkestar,2015-01-31,"[' Marem Aliev ', ' Nehrun Aliev ', ' Alban Lachenmeier ', ' Sebastian Koelman ']",
32,Winterthur,LL-Junior,2015-01-31,['LL Junior '],Pop
33,Luzern,Une-nuit-à-Paris,2015-01-31,['DJs Watermät '],Pop
