location,event,date,artists,genre,coordinates
Zürich,Ghost,2013-07-03,['Ghost '],,"(47.3768866, 8.541694)"
Zürich,The-Robben-Ford-Band,2013-07-03,"['The Robben Ford Band ', ' Robben Ford ', ' Ricky Peterson ', ' ', ' Lemar Carter ']",,"(47.3768866, 8.541694)"
Zürich,Navigator,2013-07-03,"[' Gabriel Spahni ', ' Pablo Vögtli ', ' Simon Britschgi ', ' Giuliano Sulzberger ', ' Matthew Savnik ']",Pop,"(47.3768866, 8.541694)"
Winterthur,Musica-aperta-East-Meets-West,2013-07-03,"[' Sungwon Yun ', ' Hongjoon Kim ', ' Sumin Seo ', ' Missa Kang ', ' Jae Joon Lee ', ' Hosup Song ', ' Jung Jae Moon ']",Classic,"(47.49881959999999, 8.723688899999999)"
-Alte-Kirche,Boswil,2013-07-03,"['Ronny Spiegel ', ' Stefanie Hess ', ' Tom Tafel ', ' Erik Schumann ', ' Kit Armstrong ', ' Janka Szomor-Mekis ', ' Benedict Klöckner ']",Classic,"(47.30297299999999, 8.320458000000002)"
Monthey,Local-Natives,2013-07-03,['Local Natives '],Pop,"(46.2521873, 6.9469598)"
Basel,Schönhaus-Express-feat.-Lisette-Spinnler,2013-07-03,"[' Lisette Spinnler ', ' Sascha Schönhaus ', ' Hans-Peter Pfammatter ', ' Bänz Oester ', ' Norbert Pfammatter ']",,"(47.55959860000001, 7.588576099999999)"
Pratteln,Trivium,2015-08-10,"['Trivium ', ' Biohazard ', ' Black Tusk ']",,"(47.5183198, 7.6919889)"
Zürich,Naysayer,2015-08-10,"['Naysayer ', ' Friend Or Foe ', ' Blind Beliefs ']",,"(47.3768866, 8.541694)"
Zürich,The-Legendary-Lightness,2015-08-10,"[' Nik Bärtsch ', ' Kaspar Rast ', ' Thomy Jordi ', ' Sha ']",,"(47.3768866, 8.541694)"
Zürich,Zürcher-Theater-Spektakel,2015-08-10,"['Bianca Casady & The C.i.A. ', ' Bianca Casady ', ' Takuya Nakamura ', ' Doug Wieselman ', ' Lacy Lancaster ']",Pop,"(47.3768866, 8.541694)"
Basel,Im-Fluss,2015-08-10,['Bombino '],,"(47.55959860000001, 7.588576099999999)"
Zürich,Die-heroische-Orgel,2013-07-04,['Wojeiech Róak '],Classic,"(47.3768866, 8.541694)"
Winterthur,Sommerbar,2013-07-04,['Becky Lee and Drunkfoot '],,"(47.49881959999999, 8.723688899999999)"
