,location,event,date,artists,genre
0,Zürich,Musica-barocca-italiana-per-fiati,2014-05-05,"[' Andrea Kollé ', ' Beat Anderwert ', ' Xavier Alig ', ' Naoki Kitaya ']",Classic
1,Solothurn,Simone-Guggisberg-Quartett,2014-05-05,"['Simone Guggisberg ', ' Benjamin Guggisberg ', ' Matthias Siegrist ', ' Mirco Häberli ']",Pop
2,Luzern,Cult-of-Luna,2014-05-05,['Cult of Luna '],
3,Zürich,Série-jeunes,2014-05-05,['Igor Levit '],Classic
4,Basel,AMG-Solistenabende,2014-05-05,['Mikhail Pletnev '],Classic
5,Zürich,Konzert,2014-05-05,"[' Maki Wiederkehr ', ' Daniel Meller ', ' Flurin Cuonz ']",Classic
6,null,Corretto,2014-05-05,"[' Ernst Waespe ', ' Nina Rechsteiner ', ' Pino Buoro ']",
7,Frauenfeld,Noam-Szyfer's-Weightless,2014-05-05,"[' Noam Szyfer ', ' Thierry Kuster ', ' Raphael Walser ', ' Pius Baschnagel ']",
8,Zürich,Lizz-Wright,2014-05-05,"['Lizz Wright ', ' Lizz Wright ', ' Robin Macatangay ', "" Nick d'Amato "", ' Glen Patscha ', ' River Gregarian ']",
9,Winterthur,The-Coloradas,2014-05-05,['The Coloradas '],
