,location,event,date,artists,genre
0,Zürich,Jazz-Arcades,2015-08-05,"[' Thierry Kuster ', ' Noam Szyfer ']",
1,Zofingen,Magic-Night,2015-08-05,"['Bob Geldorf ', ' Simple Minds ']",Pop
2,Schaffhausen,Stars-in-Town,2015-08-05,"[""Manfred Mann's Earth Band ""]",
3,Zürich,Internationale-Orgelkonzerte-Sommerzyklus,2015-08-05,['Benjamin Righetti '],Classic
4,Zürich,Millions-of-Dead-Cops,2015-08-05,['Millions of Dead Cops '],
5,Zürich,Serenade-im-Park-Leipziger-Streichquartett,2015-08-05,"[' Conrad Muck ', ' Tilman Büning ', ' Ivo Bauer ', ' Matthias Moosdorf ']",Classic
6,Saanen,Gstaad-Menuhin-Festival-Luft-im-Laub-und-Wind-im-Rohr,2015-08-05,"[' Khatia Buniatishvili ', ' Gvantsa Buniatishvili ']",Classic
7,Zug,Keynote-Jazz,2015-08-05,"[' Nicole Münch ', ' Steffi Hess ', ' Simone Baumann ']",Pop
8,St.-Moritz,Festival-da-Jazz,2015-08-05,"[' Bruno Spoerri ', ' Christina Jaccard ', ' Gregor Müller ', ' Kalli Gerhards ', ' Arno Troxler ']",
9,Avegno,Magic-Blues-Festival,2015-08-05,"['The Johnny Cash Roadshow ', ' Mighty Mo Rodgers ']",
10,Basel,Im-Fluss,2015-08-05,['Young Fathers '],
