,location,event,date,artists,genre
0,Zürich,Glantaler-Power-Men,2015-12-05,['Glantaler Power Men '],Pop
1,Worblaufen,Chlouseparty,2015-12-05,"['Aschi Beyeler ', ' Kevin Noël ']",
2,Aarburg,Luca-Hänni,2015-12-05,"[' Luca Hänni ', ' Zlatko Perica ', ' Christoph Siegenthaler ', ' Simon Ryf ', ' Christoph Berger ']",Pop
3,Zürich,Dillon-Cooper,2015-12-05,['Dillon Cooper '],
4,Zürich,O-magnum-mysterium,2015-12-05,[' Carl Rütti '],Classic
5,Winterthur,Big-Nightmare-Music,2015-12-05,"[' Aleksey Igudesman ', ' Hyung-ki Joo ']",Classic
6,Zürich,Adventskonzert,2015-12-05,[' Leana Schmid '],Classic
7,Solothurn,O-magnum-mysterium,2015-12-05,[' Manuel Andrea Leuenberger '],Classic
8,Basel,Adventskonzert,2015-12-05,"[' Maria Ferré ', ' Amélie Chemin ']",Classic
9,Zürich,Grosse-Chorsinfonik,2015-12-05,"[' Peter Solomon ', ' Luba Orgonásová ', ' Alisa Kolosova ', ' Pavel Cernoch ', ' Peter Mikulás ']",Classic
10,Zürich,Swinging-Christmas,2015-12-05,"[' Simon Wyrsch ', ' Thilo Wagner ', ' Kalli Gerhards ', ' Bernie Ruch ']",
11,Zürich,Giant-Sand,2015-12-05,['Giant Sand '],
12,Dornach,Hristo-Kazakov,2015-12-05,['Hristo Kazakov '],Classic
13,Zürich,Walter-Trout,2015-12-05,['Walter Trout '],
14,Sursee,Cancel-the-Sky,2015-12-05,[' In Other Climes '],
15,Wetzikon,Battle-Beast,2015-12-05,"['Battle Beast ', ' Alpha Tiger ', ' Order of Chaos ']",
16,Basel,Macula-Matris,2015-12-05,"[' Christoph Bösch ', ' Toshiko Sakakibara ', ' Lucas Rössner ', ' Michael Büttler ']",Classic
17,Luzern,Lucerne-Brass-Ensemble,2015-12-05,['Wolfgang Sieber '],Classic
18,Pratteln,Heimat-Familie-Bach-im-Fluss,2015-12-05,"[' Mira Gloor ', ' Frederic Sanchez ', ' Tania Ramos ', ' Lukas Gothszalk ', ' Vladyslava Luchenko ']",Classic
19,Winterthur,Johnny-Marroni,2015-12-05,"[' Marc Sway ', ' Simon Winiger ', ' Greg Galli ', ' Simon Kistler ']",Pop
20,Pratteln,Rage,2015-12-05,['Rage '],
21,Zürich,Tiziano-Ferro,2015-12-05,['Tiziano Ferro '],Pop
22,Zürich,Christian-Steiffen,2015-12-05,['Christian Steiffen '],traditional
23,Winterthur,Nitrogods,2015-12-05,['Nitrogods '],
24,Zürich,Christoph-Irniger,2015-12-05,"['Christoph Irniger ', ' Christoph Irniger ', ' Raffaele Bosshard ', ' Alex Huber ']",
25,Basel,Adrian-Mears-New-Orleans-Hardbop,2015-12-05,"[' Adrian Mears ', ' Domenic Landolf ', ' Peter Madsen ', ' Stephan Kurmann ', ' Mario Gonzi ']",
26,Wädenswil,Ein-gLiederabend,2015-12-05,"['Graziella Rossi ', ' Rea Claudia Kost ', ' Daniel Bentz ', ' Helmut Vogel ', ' Daniel Fueter ']",Pop
27,Basel,Impro-Duos,2015-12-05,"[' Adrian Schäublin ', ' Felix Handschin ']",
28,Bern,The-Wave-Pictures,2015-12-05,['The Wave Pictures '],
29,Lausanne,Leftfield,2015-12-05,['Leftfield '],Electronic
30,Zürich,Anna-Naklab,2015-12-05,"[' DJs Mantu ', ' Ramón ']",Electronic
31,Zug,20-Jahre-Galvanik,2015-12-05,['Lloyd Banks '],
32,Zürich,Eclecta,2015-12-05,"[' Marena Whitcher ', ' Andrina Bollinger ']",Pop
33,Oberentfelden,Bitch-Queens,2015-12-05,[' Berlin Blackouts '],
34,Zürich,Fiesta-latina-candela-Blue-Christmas,2015-12-05,['DJs Folivi '],
35,Zürich,Emily-Wells,2015-12-05,['Emily Wells '],Pop
