,location,event,date,artists,genre
0,null,Flimser-Musikfestival,2013-07-14,"['Andrea Bischoff ', ' Sabine Bärtschi ']",Classic
1,Zürich,Kantaten-Gottesdienst,2013-07-14,"[' Dela Hüttner ', ' Markus Fricker ']",Classic
2,Allmend,Frauenfeld,2013-07-14,"['Snoop Lion ', ' Jurassic 5 ', ' Gentleman & The Evolution ', ' DMC ', ' Action Bronson ', ' Kollegah & Farid Bang ', ' Ok Kid ']",Gentleman
3,Zürich,Kammerkonzert,2013-07-14,"['Laurent Weibel ', ' Yi-Chen Lin ', ' Martina Zimmermann ', ' Massimiliano Martinelli ', ' Nina Höhn ']",Classic
4,null,Flimser-Musikfestival,2013-07-14,"['Vital Julian Frey ', ' Christine Meyer ', ' Mathias Kleiböhmer ']",Classic
5,null,Harfe-Violine-Visuelles,2013-07-14,"[' Corinne Kappeler ', ' Daniel Treyer ']",Classic
6,Basel,Abendmusiken,2013-07-14,"[' Ulrike Hofbauer ', ' Evelyn Tubb ', ' Jan Thomer ', ' Richard Resch ', ' René Perl ']",Classic
7,Zürich,The-Thermals,2013-07-14,['The Thermals '],
8,Basel,Musiques-Royales,2013-07-14,['Pascale Van Coppenolle '],Classic
9,null,Stimmen,2013-07-14,"['Moddi ', ' Euzen ']",Pop
10,Montreux-Music-&-Convention-Centre,Montreux,2013-07-14,['Prince '],Prince
11,Montreux,Montreux-Jazz-Festival,2013-07-14,"['Hiatus Kaiyote ', ' Youn Sun Nah Duo ']",
12,Montreux-Music-&-Convention-Centre,Montreux,2013-07-14,"['James Blake ', ' Devendra Banhart ']",
13,Dolder-Sports,Zürich,2013-07-14,['Hugh Laurie '],
14,Piazza-Grande,Locarno,2013-07-14,['Neil Young & Crazy Horse '],
15,Dracula-Club,St.-Moritz,2013-07-14,"['Dee Dee Bridgewater ', ' Dee Dee Brigewater ', ' Edsel Gomez ']",
16,Luzern,Suuns,2013-07-14,['Suuns '],
17,Düdingen,Alela-Diane,2013-07-14,['Alela Diane '],
