,location,event,date,artists,genre
0,Locarno,Settimane-musicali-di-Ascona,2015-09-19,"['Herbert Schuch ', ' Lena Neudauer ']",Classic
1,Basel,Orgelmusik-über-Mittag,2015-09-19,['Andreas Liebig '],Classic
2,null,Les-digitales,2015-09-19,"[' Les Gordon ', ' Kein ', ' Edgecut ']",Electronic
3,Lyss,Carnage-Feast,2015-09-19,"['Unleashed ', ' support: Dehumanized ', ' Beheaded ', ' Abysmal Torment ', ' Disentomb ', ' Relics of Humanity ']",
4,Zürich,Wort-trifft-Bild,2015-09-19,"['Claudia van Acken ', ' Suanne Philips ']",Classic
5,Zürich,Die-5-Klavierkonzerte-von-Beethoven-(2-3-&-5),2015-09-19,"['Pieter-Jelle De Boer ', ' Els Biesemans ', ' Benjamin Righetti ', ' Frédéric Champion ']",Classic
6,Zürich,Herbst-in-der-Helferei-Kinderspiele-im-Herbst,2015-09-19,['Ekaterina Bonushkina '],Classic
7,Zumikon,Herbstkonzert,2015-09-19,[' Reinhard Mayr '],Classic
8,Bern,Kimera,2015-09-19,"[' Antonio Flores ', ' Nick Perrin ', ' Regula Küffer ', ' Germán Papú ', ' Rocío de Flores ']",
9,Basel,Neue-Gesänge-aus-Europa,2015-09-19,"[' Christine Simolka ', ' René Wohlhauser ']",Classic
10,Zürich,Xatar,2015-09-19,['Xatar '],
11,Bern,Musik-und-Poesie,2015-09-19,"['Mechthild Neufeld v. Einsiedel ', ' Johannes Grabher ']",Classic
12,Aarau,Alexander's-Fest-oder-Die-Macht-der-Tonkunst,2015-09-19,"[' Stephanie Pfeffer ', ' Andreas Pehl ', ' Richard Resch ', ' Fabrice Raviola ', ' Eugenio Giovine ']",Classic
13,Langenthal,Konzertchor-Oberaargau,2015-09-19,"[' Claudia von Tilzer ', ' Brigitte Scholl ', ' Bernhard Gärtner ']",Classic
14,Aarau,Bettagskonzerte,2015-09-19,"[' Stephanie Pfeffer ', ' Andreas Pehl ', ' Richard Resch ', ' Fabrice Raviola ', ' Eugenio Giovine ']",Classic
15,Basel,Klassikkonzert-zum-100.-Geburtstag-von-Peter-Escher,2015-09-19,"['Mark Lubotsky ', ' Julia Mensching ', ' Olga Dowbusch-Lubotsky ', ' Eduard Don ', ' Jason Ponce ']",Classic
16,Winterthur,Pantelis-Thalassinos,2015-09-19,['Pantelis Thalassinos '],
17,Zürich,Herbst-in-der-Helferei-Zauber-Flöte-im-Herbst-Finale,2015-09-19,['Matvey Demin '],Classic
18,Winterthur,Bettagskonzert,2015-09-19,"[' Eva Oltiványi ', ' Ulrike Andersen ', ' Michael Feyfar ', ' Wolfgang Newerla ']",Classic
19,Bülach,Wiener-Brahms-Trio,2015-09-19,"[' Boris Kuschnir ', ' Orfeo Mandozzi ', ' Jasminka Stancul ']",Classic
20,Zürich,Patti-Smith-&-Band,2015-09-19,"[' Patti Smith ', ' Lenny Kaye ', ' Tony Shanahan ', ' Jay Lee Daugherty ']",
21,Pratteln,Kamelot,2015-09-19,"['Kamelot ', ' Gus G ', ' Kobra & The Lotus ']",
22,Baden,Die-Drei,2015-09-19,"[' Leoni Altherr ', ' Sonja Ott ', ' Johanna Pärli ']",
23,Wetzikon,Dynamite,2015-09-19,"['Dynamite ', ' Hardbone ']",
24,Zürich,Genetikk,2015-09-19,['Genetikk '],
25,Luzern,Max-Raabe-&-Palast-Orchester,2015-09-19,['Max Raabe & Palast Orchester '],
26,Uster,Journeys,2015-09-19,"[' Angelo Signore ', ' Ueli Gasser ', ' Philippe Mall ', ' Luciano Maranta ', ' Willy Kotoun ', ' Robert Mark ']",
27,Uster,Journeys,2015-09-19,"[' Angelo Signore ', ' Ueli Gasser ', ' Philippe Mall ', ' Luciano Maranta ', ' Willy Kotoun ', ' Robert Mark ']",
28,Zug,Martin-Lubenov's-Jazzta-Prasta,2015-09-19,"[""Martin Lubenov's Jazzta Prasta ""]",
29,Zürich,Chansons-en-Stok,2015-09-19,"[' Suissa ', ' Jonas ', ' Cédric Schaerer ', ' Erwan Valazza ', ' David Suissa ', ' Hadrien Santos Da Silva ', ' Étienne Kermac ', ' Gaël Champion ']",
30,Basel,Wise-Guys,2015-09-19,['Wise Guys '],Pop
31,Zürich,Missa-Credo-Vokalpolyphonie-und-Jazz,2015-09-19,"[' Maria Bernius ', ' Anna Gschwend ', ' Isabel Pfefferkorn ', ' Bernhard Klas ', ' Helmut Lörscher ']",Classic
32,Solothurn,Swiss-Guitar-Night,2015-09-19,"['Steve Baughman ', ' Carlos Dorado ', ' Peter Finger ', ' Dylan Fowler ']",
33,Zürich,Caramel-Brown,2015-09-19,"[' Juline Michel ', ' Cynthia Othieno ', ' Theo Kummer ', ' Ted Beaubrun ']",Electronic
34,Basel,Christoph-Stiefel's-Inner-Language-Trio,2015-09-19,"[' Christoph Stiefel ', ' Arne Huber ', ' Kevin Chesham ']",
35,null,Krystle-Warren,2015-09-19,['Krystle Warren '],Pop
36,null,A-Synth-Fest,2015-09-19,"[' Felix Kubin ', ' Tearist ', ' Group Rhoda ']",Pop
37,Baden,Donadio-Family-Band,2015-09-19,"[' Dalia ', ' Madlen ', ' Moreno ', ' Toni Donadio ']",Pop
