	[]
22h00  00h30 Mia Kaltes	[]
22h0000h00 Pandallougi	[]
22h0001h00 Felipe Acevedo	[]
22h2h	[]
22h30 ENDt	[]
2300  0000 RoMix	[]
2300  0015 Felipe&Gusto	[]
2300  0030 Daniro & Nick Berola	[]
2300  0130 Jamie Shar	[]
2300  0130 Mary C Jane	[]
2300  2400 Danie König & Tom Novy	[]
2300 Djerry C	[]
23000100  Pedro Andrade	[]
23002400 Silvercity Bob	[]
2315  2400 Johnny RoxxBildstörung	[]
2315 KlangfabriK	[]
2330  0100 Klangkarussell	[]
2330 Marek Hemmann	[]
2345  0130 Wankelmut	[]
23h00  PhNeutre	[]
23h05h00	[]
25 years Ninja Tune feat	[]
2TAKT	[]
2nd Floor	[]
3024WASHINGTON	[]
3Some	[]
451	[]
4Line	[]
4am  Schwarzlicht  Elos & Vegas  Schwendix  Kyle Kyl	[]
5 h Set	[]
808 State	['house music', 'breakbeat', 'breakbeat', 'house music', 'techno', 'electronic', 'hardcore', 'house music', 'intelligent dance music', 'madchester', 'techno', 'house music', 'breakbeat', 'breakbeat', 'house music', 'techno', 'electronic', 'hardcore', 'house music', 'intelligent dance music', 'madchester', 'techno', 'house music', 'breakbeat', 'breakbeat', 'house music', 'techno', 'electronic', 'hardcore', 'house music', 'intelligent dance music', 'madchester', 'techno']
8Bit	[]
900000Y	[]
A	['trap', 'rap', 'trap', 'trap', 'rap', 'trap', 'trap', 'rap', 'trap']
A&F	[]
ACIDHAT	[]
ACOMA & MARCELINHO and his congas Groove Technology  Drifters  Freiburg	[]
ADRIANO live bern	[]
ADVA  Playground	[]
AFTER GRAUER	[]
AFTER HOUR bis 1200	[]
AFTER PARTY  01H00  05H00	[]
AFTERPARTY  Alte Kaserne	[]
AKA AKA feat Thalstroem	[]
AKN & DITEK	[]
AKN & Ditek	[]
AKN and Ditek	[]
AKSHAN	['ambient', 'ambient', 'ambient']
ALEXI	['acoustic pop', 'pop', 'folk christmas', 'folk', 'christmas', 'indie', 'indie', 'neo mellow', 'pop', 'singer-songwriter', 'stomp and holler', 'acoustic pop', 'pop', 'folk christmas', 'folk', 'christmas', 'indie', 'indie', 'neo mellow', 'pop', 'singer-songwriter', 'stomp and holler', 'acoustic pop', 'pop', 'folk christmas', 'folk', 'christmas', 'indie', 'indie', 'neo mellow', 'pop', 'singer-songwriter', 'stomp and holler']
ALLABY	[]
AN Aka Alexandre Navarro	[]
ANDRI LIVE	[]
ANDRI Live  Cityfox  Highgrade Zürich	[]
ANDRI live Highgrade Records  Cityfox  Zürich	[]
ANDROMEDA CIRCUS	[]
ANDRÃÂS GARCÃÂA	[]
ANDRÃS GARCÃA	[]
ANDRÈS GARCÌA	[]
ANDY GUHL	[]
ANFS	[]
ANIMARILYS	[]
AOIDE	[]
AOKI takamasa	['idm', 'ambient', 'rap', 'idm', 'ambient', 'idm', 'ambient']
APaul	['techno', 're:techno', 'techno', 're:techno', 'techno', 're:techno']
ARMONIX	[]
ARNIKA	[]
ART MAILLE	[]
ART&WEISE	[]
ARTISAN	[]
ASI	['flamenco', 'spanish pop', 'flamenco', 'spanish pop', 'flamenco', 'spanish pop']
ASM	[]
ASSH	[]
AST & KLAUDIJA GROOVIN GOLIC	[]
ASURA	['ambient', 'new tribe', 'trance music', 'psychill', 'disco', 'rap', 'ambient', 'new tribe', 'trance music', 'psychill', 'ambient', 'new tribe', 'trance music', 'psychill']
AT	['emo', 'pop punk', 'vegas indie', 'emo', 'pop punk', 'vegas indie', 'emo', 'pop punk', 'vegas indie']
ATA	['house music', 'techno', 'techno', 'house music', 'hip hop']
ATOMITA	[]
AURELIO DE MARSICO	[]
AUSTRIA	[]
AUT	[]
Aaah Club	[]
Ab 2300  18 Jahren	[]
Abelle ARMA17  Moskau	[]
About Paula	[]
Abyssinie Club	[]
Acid House	['c86', 'swedish indie pop', 'pop', 'c86', 'swedish indie pop', 'pop', 'c86', 'swedish indie pop', 'pop']
Acker	['adult standards', 'ballroom', 'christmas', 'easy listening', 'lounge', 'adult standards', 'ballroom', 'christmas', 'easy listening', 'lounge', 'adult standards', 'ballroom', 'christmas', 'easy listening', 'lounge']
Acktivism	[]
Acoustic Nerds	[]
Actamin	[]
Adam Beyer	['techno', 'house music', 'microhouse', 'minimal', 'techno', 'schranz', 'house music', 'techno', 'techno', 'techno', 'house music', 'techno', 'house music', 'microhouse', 'minimal', 'techno', 'schranz', 'house music', 'techno', 'techno', 'house music', 'microhouse', 'minimal', 'techno', 'schranz', 'house music', 'techno']
Adam Port	['disco', 'deep', 'techno', 'house music', 'disco', 'rap', 'disco', 'deep', 'disco', 'deep']
Adam Shelton	['house music', 'house music']
Addictive TV	['rock']
Adi	['house music', 'retro electro', 'house music', 'retro electro', 'house music', 'retro electro']
Adimatique	[]
Adolpho & Franky	[]
Adrian Martin	['disco']
Adrian Martin  Pazzoide	[]
Adrian Martin b2b Albi	[]
Adrian Martin und Gianni Callipari	[]
Adriano	['disco', 'rap']
Adriatique	['disco', 'deep', 'deep', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'disco', 'hip hop', 'hip hop', 'techno', 'rap', 'disco', 'deep', 'deep', 'house music', 'microhouse', 'techno', 'techno', 'house music', 'disco', 'deep', 'deep', 'house music', 'microhouse', 'techno', 'techno', 'house music']
Adriatique  Diynamic Music	[]
Adryan	[]
Adverblaster	[]
Affani	['disco', 'rap']
Afrilounge	['techno', 'house music', 'house music']
After Grauer	[]
After Grauer & Phil ZViel	[]
After after party  Sidewalk Cafe	[]
Aftergrauer	[]
Afterhour Luigi	[]
Agape	[]
Agent C	[]
AgnÃ¨s	['chamber pop', 'ambient', 'pop', 'indie folk', 'chamber pop', 'ambient', 'pop', 'indie folk', 'chamber pop', 'ambient', 'pop', 'indie folk']
Agnès	['chamber pop', 'ambient', 'pop', 'indie folk', 'chamber pop', 'ambient', 'pop', 'indie folk', 'chamber pop', 'ambient', 'pop', 'indie folk']
Agonis	[]
Agoria	['disco', 'deep', 'deep', 'microhouse', 'techno', 'techno', 'house music', 'techno', 'techno', 'house music', 'disco', 'deep', 'deep', 'microhouse', 'techno', 'techno', 'house music', 'disco', 'deep', 'deep', 'microhouse', 'techno', 'techno', 'house music']
Ajele	[]
Ajele Naturklang  Zurich	[]
Ajja	['dark psytrance', 'trance music', 'dark psytrance', 'trance music', 'dark psytrance', 'trance music']
Ajja vs Cosmosis	[]
Akinetik	[]
Akkord	[]
Akua Naru	[]
Al Tourettes	['dub', 'techno', 'hip hop', 'techno', 'uk garage', 'hip hop']
Alain	['classical piano', 'disco', 'rap', 'classical piano', 'classical piano']
Alan Fitzpatrick	['house music', 'deep', 'house music', 'microhouse', 'techno', 'house music', 'techno', 'house music', 'deep', 'house music', 'microhouse', 'techno', 'house music', 'techno', 'house music', 'deep', 'house music', 'microhouse', 'techno', 'house music', 'techno']
Alan Lector	[]
Albi	[]
Albruic	[]
Alci	['bolero', 'classic colombian pop', 'cumbia', 'merengue', 'salsa', 'vallenato', 'techno', 'disco', 'techno', 'rap', 'bolero', 'classic colombian pop', 'cumbia', 'merengue', 'salsa', 'vallenato', 'bolero', 'classic colombian pop', 'cumbia', 'merengue', 'salsa', 'vallenato']
Alec Trusk	['disco']
Alejandro Mosso	['techno', 'techno', 'rock', 'post-disco', 'house music', 'disco', 'house music', 'rap', 'techno', 'techno']
Alek Sys	[]
Ales	[]
Alessandro Bertolino	[]
Alessio	[]
Alessio&Dominik	['rap']
Alex Adair	['house music', 'deep', 'house music', 'house music', 'house music', 'deep', 'house music', 'house music', 'house music', 'deep', 'house music', 'house music']
Alex Austin	[]
Alex Bau	['techno', 'house music', 'techno', 'house music', 'rock', 'rap', 'trap', 'disco', 'hip hop', 'techno', 'techno', 'house music', 'techno', 'house music']
Alex Costanzo	[]
Alex Dallas	[]
Alex Di Stefano	['techno', 'rock', 'techno', 'disco', 'hip hop', 'hip hop', 'techno', 'rap', 'techno', 'techno']
Alex Flatner	['techno', 'house music', 'techno', 'techno']
Alex Flitsch	['house music']
Alex Gori	[]
Alex Kostic	[]
Alex Neri	['chill lounge', 'house music', 'chill lounge', 'chill lounge']
Alex Niggemann	['disco', 'deep', 'techno', 'techno', 'techno', 'house music', 'techno', 'techno', 'house music', 'disco', 'house music', 'rap', 'disco', 'deep', 'techno', 'techno', 'techno', 'house music', 'disco', 'deep', 'techno', 'techno', 'techno', 'house music']
Alex Picone	['techno', 'disco', 'rap', 'techno', 'techno']
Alexandre Navarro	['abstract', 'abstract', 'abstract']
Alfonso Leon	['world meditation', 'disco', 'world meditation', 'world meditation']
Alice Russell	['downtempo', 'deep funk', 'electro music', 'funk', 'neo soul', 'nu jazz', 'soul', 'downtempo', 'downtempo', 'deep funk', 'electro music', 'funk', 'neo soul', 'nu jazz', 'soul', 'downtempo', 'downtempo', 'deep funk', 'electro music', 'funk', 'neo soul', 'nu jazz', 'soul', 'downtempo']
Alle Farben	['house music', 'deep', 'deep', 'house music', 'house music', 'deep', 'deep', 'house music', 'house music', 'deep', 'deep', 'house music']
Allen D & Shac	[]
Allen Rich & Gaultier Barras	[]
Aloan	[]
Alphatronic	[]
Alphatronic live	[]
Alphonse du Toit	[]
Alternative Floor	[]
Altius	[]
Alva Noto	['idm', 'ambient', 'ambient', 'dark jazz', 'drone', 'techno', 'fourth world', 'idm', 'intelligent dance music', 'mandible', 'microhouse', 'minimal', 'drone', 'idm', 'ambient', 'ambient', 'dark jazz', 'drone', 'techno', 'fourth world', 'idm', 'intelligent dance music', 'mandible', 'microhouse', 'minimal', 'drone', 'idm', 'ambient', 'ambient', 'dark jazz', 'drone', 'techno', 'fourth world', 'idm', 'intelligent dance music', 'mandible', 'microhouse', 'minimal', 'drone']
Am Khamsaa	[]
Amaro	['reggaeton', 'reggaeton', 'reggaeton', 'reggaeton', 'reggaeton', 'reggaeton']
Amaro  Dirty Larry	[]
Amazon	[]
Ambient P	[]
Ambient P  Pino Music	[]
Ambient P & Friends	[]
Ambivalent	['techno', 'house music', 'techno', 'techno', 'techno', 'house music', 'techno', 'house music']
Amelie  Talentfrei	[]
Amiant	[]
Amine Edge	['disco', 'house music', 'disco', 'house music', 'disco', 'house music']
Amine Edge & DANCE	['rap', 'house music', 'house music', 'disco']
Amplidude	[]
Amsterdam	[]
AmsterdamNL	[]
AnGy KoRe	['techno', 'minimal', 'techno', 'hardstyle', 'disco', 'hip hop', 'techno', 'techno', 'minimal', 'techno', 'minimal']
Ananas Symphonie	[]
Ananas Symphony	[]
Anatol  cosili  P45  zurich  CH	[]
And Hazel	[]
