	[]
ANDREW THE GRAND	[]
Actamin	[]
Adolpho & Franky	[]
Adva	[]
Akt	[]
Alma Negra	[]
Andrey Pushkarev	['rap', 'disco', 'house music', 'techno', 'techno']
Ariane Effect	['techno', 'techno']
Artikal  Black Box  NL	[]
Aurora Halal	['rap', 'disco']
Aust	[]
Aware	[]
Ayhasca Ernesto	[]
Azimute	['rock', 'rap', 'hip hop', 'disco', 'house music', 'techno', 'techno']
BLACK TIGER Basel City	[]
BOM	['vapor pop', 'vapor pop', 'vapor pop']
Baile Musik  DE	[]
Basic Fingers	[]
Beda	['rap', 'disco']
Ben Kaczor	['rap', 'disco']
Benjah	['hip hop', 'hip hop', 'hip hop']
Beppe Loda	[]
Berber & Pasta	[]
Bonafide 3000 ISR live Support FEA Soundsytem BE	[]
Bufiman	['house music', 'house music', 'house music']
Bunte Bummler	['disco', 'deep', 'disco', 'deep', 'disco', 'deep']
Byzance	[]
CCO	['rap', 'disco']
Cab Drivers	[]
Cabinet Records	[]
Caslau  Luke Haslau	[]
Central Rodeo	['rap', 'disco', 'house music', 'techno']
Cepheì	[]
Cesar Merveille	['rap', 'hip hop', 'disco', 'house music', 'techno', 'techno']
Chad Andrew	['hip hop', 'hip hop', 'hip hop']
Chaos In The CBD	['bass music', 'house music', 'house music', 'house music', 'fluxwork', 'uk garage', 'indie jazz', 'techno', 'house music', 'house music', 'techno', 'house music', 'techno', 'bass music', 'house music', 'house music', 'house music', 'fluxwork', 'uk garage', 'indie jazz', 'techno', 'house music', 'bass music', 'house music', 'house music', 'house music', 'fluxwork', 'uk garage', 'indie jazz', 'techno', 'house music']
Chris Ahn	['house music', 'techno', 'techno']
Christian Elefante	[]
Christian Schiemann	['rap', 'disco']
Clearvision	[]
Cold Colors	['electronic rock', 'electronic rock', 'electronic rock']
Cosmo & Faber	['rap']
Cutkachi  rest  dubtopia  Bern	[]
D Cosmo	[]
D Cosmo & Faber	[]
DANIEL BROESECKE	[]
DFA	[]
DJ	['trap', 'house music', 'trap', 'house music', 'trap', 'house music']
DJ Aunt One & Napoleton	[]
DJ D	['trap', 'rap', 'techno', 'trap', 'trap']
DJ Dub	['dub']
DJ Fett Burger	[]
DJ HERA	[]
DJ Moishe	[]
DJ PTess	[]
DJ STEEL	[]
DJ Tray	[]
DJs Eli Verveine	[]
DJs Nik	[]
Dan Noel	['rap', 'hip hop', 'disco', 'house music', 'house music']
Daniel Branco	[]
Daniele Cosmo	[]
Danny Faber	['rap', 'disco', 'techno', 'techno']
Dany Movida	[]
Das HOUSE	[]
Das Pferd	[]
Dave Eleanor	['rap', 'hip hop', 'disco', 'electronica', 'dub']
Davix	[]
Deep n Dub	[]
Delorian Cloud Fire	[]
Der Dirigent	[]
Did Low	[]
Die Kistenkerle	[]
Dj Montes  Goldfinger Brothers  Basel	[]
Dj Never Die	['rap', 'disco', 'techno', 'hardcore', 'techno']
DoubtingThomas	['rap', 'disco', 'techno']
Drinks & Food	[]
Dubhead  Istein	[]
Echo 106	['house music', 'house music', 'house music']
Edward Classen aka EDI LE CHEF	[]
El Tigre Sound	[]
Elevated	[]
Eli Verveine	['hip hop', 'disco', 'techno', 'techno']
Elrino	[]
Emre	['turkish pop', 'turkish', 'turkish pop', 'turkish', 'turkish pop', 'turkish']
Enzo Siragusa  Randall M  Chad Andrew  Hash Hendrex  Ferro  Kamran Sadeghi	[]
EnzoMrTrendPianzola	[]
FABIAN BINKERT	[]
FRED LICCI	[]
Faber	['emo', 'emo', 'pop', 'emo', 'emo', 'pop', 'emo', 'emo', 'pop']
Fabio Riccio	[]
Faust	['classical performance', 'classical', 'violin', 'classical performance', 'classical', 'violin', 'classical performance', 'classical', 'violin']
Fehlfunktion	[]
Flapjackers	['rap', 'disco', 'house music']
Frank Vespari	[]
Gabriel Pellicano aka DJ Pellicano	[]
Garance	['hip hop', 'house music', 'techno', 'techno']
Garçon	[]
Gel Abril	['rap', 'hip hop', 'disco', 'house music', 'techno', 'house music', 'dub', 'techno']
Getting Any	[]
Gold N Silver	[]
Goldoni	[]
Guel	[]
Herman	['cabaret', 'show tunes', 'tin pan alley', 'cabaret', 'show tunes', 'tin pan alley', 'cabaret', 'show tunes', 'tin pan alley']
Hermansson & Martinez	[]
Hfs Dub	[]
Highlife	[]
Hund Koecket	[]
Idealist	['ambient', 'ambient', 'ambient']
Ikosa	[]
Intro by Meschuggo	[]
Iyad El Qirinawi aka EL Q	[]
J Sayne	[]
JOHNY BLAZE	[]
Jack Demon	[]
Jam On	[]
Jame Mc Hale	[]
Jame McHale	[]
James Mc Hale	[]
James Pants	['hip hop', 'idm', 'hip hop', 'idm', 'hip hop', 'idm']
Jamie Lidell	['funk', 'neo soul', 'soul', 'funk', 'neo soul', 'soul', 'funk', 'neo soul', 'soul']
Jan Schulte	[]
Jeff Swing	['rap', 'hip hop', 'disco', 'techno', 'techno']
Jerome Ferra	['rap', 'disco', 'house music']
Kaan Düzarat	[]
Kairo Is Koming	[]
Kaschemme Basel	[]
Kejeblos	[]
Khidja	['house music', 'house music', 'house music']
KiMi	[]
Kombé	[]
Kraftwerk	['rock', 'breakbeat', 'rock', 'electro', 'electronic', 'experimental', 'fourth world', 'techno', 'rock', 'new romantic', 'new', 'post-punk', 'electronic rock', 'post', 'rock', 'breakbeat', 'rock', 'electro', 'electronic', 'experimental', 'fourth world', 'techno', 'rock', 'new romantic', 'new', 'post-punk', 'electronic rock', 'post', 'rock', 'breakbeat', 'rock', 'electro', 'electronic', 'experimental', 'fourth world', 'techno', 'rock', 'new romantic', 'new', 'post-punk', 'electronic rock', 'post']
Krizzli	['rap', 'disco']
LAD	['rap', 'disco', 'electronica', 'hardcore']
LIVE Alessandro Parisi	[]
LUIS RODRIGUES	['accordion', 'accordion', 'accordion']
Lando	['house music', 'techno', 'techno']
Larry King	[]
Larytta	['rock', 'rap', 'hip hop', 'hip hop', 'techno', 'techno']
Lausanne	[]
Lee Webster	['rap', 'disco', 'techno']
Lemonick	['rap', 'disco']
Lesnicar	[]
Lexx	['rap', 'disco']
LichtDEFEKTE von Van Nutt	[]
Lilith	['spanish punk', 'rap', 'hip hop', 'disco', 'house music', 'techno', 'house music', 'techno', 'spanish punk', 'spanish punk']
Live	['christian christmas', 'world worship', 'worship', 'christian christmas', 'world worship', 'worship', 'christian christmas', 'world worship', 'worship']
Live Pitsch & Magnano	[]
Lord Kesseli & The Drums	[]
MALEKOS BEUTEL & AMARU	[]
MARQUE AUREL & MUSIC P	[]
MRTREND	[]
MTDF	['house music']
Madben	['rock', 'rap', 'hip hop', 'disco', 'techno', 'techno']
Mafou	[]
Magit Cacoon	['rap', 'disco']
Mala  Digital Mystikz	[]
Malik	['pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop', 'pop']
Manuell	['hip hop', 'hip hop', 'hip hop']
Marc DArrigo	['house music', 'electronica', 'techno', 'house music', 'techno']
Marc Fuhrmann	[]
Marc Hype	['drum and bass', 'jump up', 'jungle', 'drum and bass', 'jump up', 'jungle', 'drum and bass', 'jump up', 'jungle']
Marco Silva	[]
Mark Lamski	[]
Markus haZe	[]
Mastra	['deep', 'deep', 'deep']
Mehmet Aslan	['rap', 'disco', 'house music']
Michel Mathis aka DJ Pun	[]
Mike Kay	[]
Minimo Imprint	[]
Moscoman	['house music', 'house music', 'house music']
Mucho Stylez	['rap', 'disco', 'techno', 'techno']
Mukuna	[]
Music From Memory  Amsterdam	[]
NINETOES	['rap', 'disco', 'house music', 'techno', 'house music', 'techno']
Neevo	[]
New Order	['electronic rock', 'rock', 'britpop', 'rock', 'electronic', 'rock', 'madchester', 'new romantic', 'new', 'new', 'wave', 'post-punk', 'rock', 'electronic rock', 'post', 'electronic rock', 'rock', 'britpop', 'rock', 'electronic', 'rock', 'madchester', 'new romantic', 'new', 'new', 'wave', 'post-punk', 'rock', 'electronic rock', 'post', 'electronic rock', 'rock', 'britpop', 'rock', 'electronic', 'rock', 'madchester', 'new romantic', 'new', 'new', 'wave', 'post-punk', 'rock', 'electronic rock', 'post']
Nicolas Duvoisin	['rap', 'disco']
OLIVER K	['re:techno', 'hip hop', 'hip hop', 'house music', 'hip hop', 'techno', 're:techno', 're:techno']
OTIST RIDDIM	[]
Offen Music	[]
Oliver Dollar	['house music', 'rap', 'hip hop', 'disco', 'house music', 'house music', 'house music', 'techno', 'house music', 'house music']
Oliver K	['re:techno', 'hip hop', 'hip hop', 'house music', 'hip hop', 'techno', 're:techno', 're:techno']
Oscar Niczzo	[]
Oscar Schubaq	['rap', 'disco', 'house music', 'techno', 'house music', 'dub', 'techno']
Ostbahnhof	[]
Ovum	[]
PBell	[]
PBen	[]
PTess	[]
Paul Eg	['disco', 'house music', 'techno', 'techno']
Perlon  Berlin	[]
Permanent Vacation	['jungle', 'hip hop', 'disco', 'house music', 'techno', 'dub', 'techno']
Peter Hook	[]
Peter Szanto	[]
Philip Bader	['house music', 'techno', 'house music', 'techno', 'house music', 'techno']
Philippe	['choral', 'classical christmas', 'classical', 'harpsichord', 'orchestral', 'choral', 'classical christmas', 'classical', 'harpsichord', 'orchestral', 'choral', 'classical christmas', 'classical', 'harpsichord', 'orchestral']
Playlove	['rock', 'jungle', 'hip hop', 'downtempo', 'house music', 'techno', 'techno']
Pochatz	[]
Priku	['rap', 'disco']
Prop&Lean	[]
Puma	['big room', 'big', 'deep', 'disco', 'edm', 'house music', 'house music', 'house music', 'house music', 'house music', 'house music', 'house music', 'big room', 'big', 'deep', 'disco', 'edm', 'house music', 'house music', 'house music', 'house music', 'house music', 'house music', 'house music', 'big room', 'big', 'deep', 'disco', 'edm', 'house music', 'house music', 'house music', 'house music', 'house music', 'house music', 'house music']
Purpurea	[]
RP Boo	['bass music', 'fluxwork', 'footwork', 'bass music', 'fluxwork', 'footwork', 'bass music', 'fluxwork', 'footwork']
Raban	[]
Radio Ghost Town  Basel	[]
Rino	['rap', 'dirty', 'rap', 'rap', 'dirty', 'rap', 'rap', 'dirty', 'rap']
Rio Wolta	[]
Romar	['rap']
Roon	['hip hop', 'house music', 'dub', 'techno']
Sandro Kuhne	[]
Sanmon	[]
Scott Kemp	['rap', 'disco', 'techno', 'dub', 'techno']
Serafin	['opera', 'orchestral', 'opera', 'orchestral', 'opera', 'orchestral']
Sinjin Hawke	['trap', 'house music', 'rap', 'uk garage', 'disco', 'house music', 'house music', 'techno', 'trap', 'house music', 'trap', 'house music']
Smos	[]
Special Guest Mia Kaltes	[]
Stassy	[]
Stefan Goldmann	['rap', 'hip hop', 'disco', 'house music', 'techno', 'techno']
Styro 2000	[]
Subotagerecords  Density Radio X  Basel	[]
TAF	['neo metal', 'rock', 'rap', 'disco', 'house music', 'house music', 'neo metal', 'neo metal']
TBird	[]
TMSV	['uk garage', 'uk garage', 'substep', 'uk garage', 'dub', 'uk garage', 'uk garage', 'substep', 'uk garage', 'uk garage', 'substep']
TNT	[]
Tako & Jamie Tiller	['rap', 'house music']
Tanua	['disco', 'house music', 'techno', 'techno']
Teki Latex	['techno', 'rap', 'hip hop', 'disco', 'techno', 'techno']
The Name Game	[]
Time Has Changed	[]
Timnah Sommerfeldt	[]
Timothy J Fairplay	[]
TomTeeT	[]
Trauminic	[]
Truce	[]
Twoets	[]
Underworld	['house music', 'electronic rock', 'breakbeat', 'breakbeat', 'disco', 'electronic', 'intelligent dance music', 'madchester', 'electronic rock', 'downtempo', 'electroacoustic music', 'rock', 'rap', 'hip hop', 'house music', 'techno', 'dub', 'house music', 'ambient', 'techno', 'house music', 'electronic rock', 'breakbeat', 'breakbeat', 'disco', 'electronic', 'intelligent dance music', 'madchester', 'electronic rock', 'downtempo', 'house music', 'electronic rock', 'breakbeat', 'breakbeat', 'disco', 'electronic', 'intelligent dance music', 'madchester', 'electronic rock', 'downtempo']
VAlpen	['hip hop']
VAlpen aka Dachshund & Dave The Hustler	[]
Valentin	['banda', 'cumbia', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican', 'regional', 'banda', 'cumbia', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican', 'regional', 'banda', 'cumbia', 'cumbia', 'grupera', 'norteno', 'ranchera', 'regional mexican', 'regional']
Valerio Raponi	['disco', 'house music', 'house music', 'house music']
Venti	[]
Vinyl Speed Adjust	['rap', 'disco']
Vitronic	[]
Vladimir Ivkovic	[]
Wandler	['rap', 'disco', 'techno', 'techno', 'techno']
Wehbba	['techno', 'house music', 'rock', 'rap', 'disco', 'house music', 'techno', 'techno', 'techno', 'house music', 'techno', 'house music']
Wicked Wilma	[]
Wolf Müller	[]
Yaroslav Lenzyak	['rap', 'hip hop', 'disco', 'house music', 'electronica', 'techno', 'house music', 'techno']
Zecher	['rap', 'disco']
Zecher  Subotage Records  RadioX  Basel	[]
Zora Jones	['fluxwork', 'fluxwork', 'fluxwork']
elias3O8	[]
hypnorex	[]
